bbl,year,stmt_date,stmt_type,status,estimated_gross_income_raw,estimated_gross_income,estimated_expenses_raw,estimated_expenses,base_cap_rate_raw,base_cap_rate,overall_cap_rate_raw,overall_cap_rate,source_url
4049940041,2025,20250115,NPV,ok,"$960,790",960790.0,"$514,056",514056.0,7.25%,0.0725,12.875%,0.12875,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=4049940041&stmtDate=20250115&stmtType=NPV
3047960030,2025,20250115,NPV,ok,"$595,201",595201.0,"$321,409",321409.0,7.33%,0.0733,12.955%,0.12955,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3047960030&stmtDate=20250115&stmtType=NPV
2032250106,2025,20250115,NPV,ok,"$622,754",622754.0,"$394,079",394079.0,8.34%,0.0834,13.96166%,0.1396166,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2032250106&stmtDate=20250115&stmtType=NPV
1010360028,2025,20250115,NPV,ok,"$2,120,647",2120647.0,"$946,152",946152.0,6.95%,0.0695,12.575%,0.12575,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1010360028&stmtDate=20250115&stmtType=NPV
3001850048,2025,20250115,NPV,ok,"$767,944",767944.0,"$268,780",268780.0,6.92%,0.0692,12.545%,0.12545,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3001850048&stmtDate=20250115&stmtType=NPV
1001520025,2025,20250115,NPV,ok,"$2,598,002",2598002.0,"$757,837",757837.0,,,15.003%,0.15003,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=1001520025&stmtDate=20250115&stmtType=NPV
2024780046,2025,20250115,NPV,ok,"$804,898",804898.0,"$434,645",434645.0,8.54%,0.08539999999999999,14.165%,0.14165,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2024780046&stmtDate=20250115&stmtType=NPV
2031150001,2025,20250115,NPV,parsed_empty,,,,,,,,,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=2031150001&stmtDate=20250115&stmtType=NPV
3011740054,2025,20250115,NPV,ok,"$261,895",261895.0,"$91,663",91663.0,6.93%,0.0693,12.555%,0.12555,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3011740054&stmtDate=20250115&stmtType=NPV
3075600057,2025,20250115,NPV,ok,"$1,981,256",1981256.0,"$493,580",493580.0,6.92%,0.0692,12.545%,0.12545,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3075600057&stmtDate=20250115&stmtType=NPV
3022970019,2025,20250115,NPV,ok,"$368,100",368100.0,"$115,059",115059.0,7.18%,0.0718,12.805%,0.12805,https://a836-edms.nyc.gov/dctm-rest/repositories/dofedmspts/StatementSearch?bbl=3022970019&stmtDate=20250115&stmtType=NPV
