zip5,year,filer_type,n_acq,units_acq,n_sell,units_sell,net_transfers,net_units,total_units
19107,2019,High-filer,0,0,0,0,0,0,9528
19107,2019,Low-filer,15,118,15,119,0,-1,9528
19107,2019,Small portfolio,4,59,5,68,-1,-9,9528
19107,2019,Single-purchase,63,233,62,223,1,10,9528
19108,2006,High-filer,0,0,0,0,0,0,
19108,2006,Low-filer,0,0,0,0,0,0,
19108,2006,Small portfolio,0,0,0,0,0,0,
19108,2006,Single-purchase,0,0,0,0,0,0,
19108,2007,High-filer,0,0,0,0,0,0,
19108,2007,Low-filer,0,0,0,0,0,0,
19108,2007,Small portfolio,0,0,0,0,0,0,
19108,2007,Single-purchase,0,0,0,0,0,0,
19108,2008,High-filer,0,0,0,0,0,0,
19108,2008,Low-filer,0,0,0,0,0,0,
19108,2008,Small portfolio,0,0,0,0,0,0,
19108,2008,Single-purchase,0,0,0,0,0,0,
19108,2009,High-filer,0,0,0,0,0,0,
19108,2009,Low-filer,0,0,0,0,0,0,
19108,2009,Small portfolio,0,0,0,0,0,0,
19108,2009,Single-purchase,0,0,0,0,0,0,
19108,2010,High-filer,0,0,0,0,0,0,
19108,2010,Low-filer,0,0,0,0,0,0,
19108,2010,Small portfolio,0,0,0,0,0,0,
19108,2010,Single-purchase,0,0,0,0,0,0,
19108,2011,High-filer,0,0,0,0,0,0,
19108,2011,Low-filer,0,0,0,0,0,0,
19108,2011,Small portfolio,0,0,0,0,0,0,
19108,2011,Single-purchase,0,0,0,0,0,0,
19108,2012,High-filer,0,0,0,0,0,0,
19108,2012,Low-filer,0,0,0,0,0,0,
19108,2012,Small portfolio,0,0,0,0,0,0,
19108,2012,Single-purchase,0,0,0,0,0,0,
19108,2013,High-filer,0,0,0,0,0,0,
19108,2013,Low-filer,0,0,0,0,0,0,
19108,2013,Small portfolio,0,0,0,0,0,0,
19108,2013,Single-purchase,0,0,0,0,0,0,
19108,2014,High-filer,0,0,0,0,0,0,
19108,2014,Low-filer,0,0,0,0,0,0,
19108,2014,Small portfolio,0,0,0,0,0,0,
19108,2014,Single-purchase,1,1,1,1,0,0,
19108,2015,High-filer,0,0,0,0,0,0,
19108,2015,Low-filer,0,0,0,0,0,0,
19108,2015,Small portfolio,0,0,0,0,0,0,
19108,2015,Single-purchase,1,1,1,1,0,0,
19108,2016,High-filer,0,0,0,0,0,0,
19108,2016,Low-filer,0,0,0,0,0,0,
19108,2016,Small portfolio,0,0,0,0,0,0,
19108,2016,Single-purchase,0,0,0,0,0,0,
19108,2017,High-filer,0,0,0,0,0,0,
19108,2017,Low-filer,0,0,0,0,0,0,
19108,2017,Small portfolio,0,0,0,0,0,0,
19108,2017,Single-purchase,0,0,0,0,0,0,
19108,2018,High-filer,0,0,0,0,0,0,
19108,2018,Low-filer,0,0,0,0,0,0,
19108,2018,Small portfolio,0,0,0,0,0,0,
19108,2018,Single-purchase,0,0,0,0,0,0,
19108,2019,High-filer,0,0,0,0,0,0,
19108,2019,Low-filer,0,0,0,0,0,0,
19108,2019,Small portfolio,0,0,0,0,0,0,
19108,2019,Single-purchase,0,0,0,0,0,0,
19111,2006,High-filer,2,19,0,0,2,19,9767
19111,2006,Low-filer,4,38,3,5,1,33,9767
19111,2006,Small portfolio,34,60,48,139,-14,-79,9767
19111,2006,Single-purchase,1080,1229,1069,1202,11,27,9767
19111,2007,High-filer,2,23,2,23,0,0,9777
19111,2007,Low-filer,6,7,5,5,1,2,9777
19111,2007,Small portfolio,20,29,35,47,-15,-18,9777
19111,2007,Single-purchase,851,947,837,931,14,16,9777
19111,2008,High-filer,5,5,6,6,-1,-1,9777
19111,2008,Low-filer,9,10,4,5,5,5,9777
19111,2008,Small portfolio,22,79,32,81,-10,-2,9777
19111,2008,Single-purchase,738,907,732,909,6,-2,9777
19111,2009,High-filer,5,7,0,0,5,7,9858
19111,2009,Low-filer,10,11,12,14,-2,-3,9858
19111,2009,Small portfolio,22,31,20,30,2,1,9858
19111,2009,Single-purchase,680,750,685,755,-5,-5,9858
19111,2010,High-filer,0,0,3,4,-3,-4,9858
19111,2010,Low-filer,22,32,3,4,19,28,9858
19111,2010,Small portfolio,26,37,26,45,0,-8,9858
19111,2010,Single-purchase,623,683,639,699,-16,-16,9858
19111,2011,High-filer,4,4,1,1,3,3,9867
19111,2011,Low-filer,26,33,22,23,4,10,9867
19111,2011,Small portfolio,27,30,28,37,-1,-7,9867
19111,2011,Single-purchase,499,543,505,549,-6,-6,9867
19111,2012,High-filer,1,1,3,12,-2,-11,9874
19111,2012,Low-filer,26,38,26,33,0,5,9874
19111,2012,Small portfolio,45,56,38,45,7,11,9874
19111,2012,Single-purchase,586,650,591,655,-5,-5,9874
19111,2013,High-filer,3,13,1,10,2,3,9874
19111,2013,Low-filer,15,22,16,24,-1,-2,9874
19111,2013,Small portfolio,58,74,30,35,28,39,9874
19111,2013,Single-purchase,627,714,656,754,-29,-40,9874
19111,2014,High-filer,11,12,2,2,9,10,9874
19111,2014,Low-filer,27,32,21,30,6,2,9874
19111,2014,Small portfolio,57,88,41,65,16,23,9874
19111,2014,Single-purchase,659,747,690,782,-31,-35,9874
19111,2015,High-filer,9,17,7,15,2,2,9875
19111,2015,Low-filer,25,40,19,23,6,17,9875
19111,2015,Small portfolio,71,131,36,47,35,84,9875
19111,2015,Single-purchase,687,775,730,878,-43,-103,9875
19111,2016,High-filer,9,19,5,16,4,3,9875
19111,2016,Low-filer,7,10,16,26,-9,-16,9875
19111,2016,Small portfolio,61,102,49,74,12,28,9875
19111,2016,Single-purchase,859,958,866,973,-7,-15,9875
19111,2017,High-filer,5,18,3,4,2,14,9875
19111,2017,Low-filer,9,15,12,19,-3,-4,9875
19111,2017,Small portfolio,77,107,39,137,38,-30,9875
19111,2017,Single-purchase,836,1007,873,987,-37,20,9875
19111,2018,High-filer,2,68,3,68,-1,0,9875
19111,2018,Low-filer,16,31,16,30,0,1,9875
19111,2018,Small portfolio,74,98,55,69,19,29,9875
19111,2018,Single-purchase,792,881,810,911,-18,-30,9875
19111,2019,High-filer,3,39,6,44,-3,-5,9875
19111,2019,Low-filer,5,11,3,7,2,4,9875
19111,2019,Small portfolio,58,102,39,72,19,30,9875
19111,2019,Single-purchase,786,980,804,1009,-18,-29,9875
19112,2006,High-filer,0,0,0,0,0,0,33
19112,2006,Low-filer,0,0,0,0,0,0,33
19112,2006,Small portfolio,0,0,0,0,0,0,33
19112,2006,Single-purchase,3,3,3,3,0,0,33
19112,2007,High-filer,0,0,0,0,0,0,33
19112,2007,Low-filer,0,0,0,0,0,0,33
19112,2007,Small portfolio,0,0,0,0,0,0,33
19112,2007,Single-purchase,2,2,2,2,0,0,33
19112,2008,High-filer,0,0,0,0,0,0,33
19112,2008,Low-filer,0,0,0,0,0,0,33
19112,2008,Small portfolio,0,0,0,0,0,0,33
19112,2008,Single-purchase,2,65,2,65,0,0,33
19112,2009,High-filer,0,0,0,0,0,0,33
19112,2009,Low-filer,0,0,0,0,0,0,33
19112,2009,Small portfolio,0,0,0,0,0,0,33
19112,2009,Single-purchase,3,3,3,3,0,0,33
19112,2010,High-filer,0,0,0,0,0,0,33
19112,2010,Low-filer,0,0,0,0,0,0,33
19112,2010,Small portfolio,0,0,0,0,0,0,33
19112,2010,Single-purchase,1,1,1,1,0,0,33
19112,2011,High-filer,0,0,0,0,0,0,33
19112,2011,Low-filer,0,0,0,0,0,0,33
19112,2011,Small portfolio,0,0,0,0,0,0,33
19112,2011,Single-purchase,1,1,1,1,0,0,33
19112,2012,High-filer,0,0,0,0,0,0,33
19112,2012,Low-filer,0,0,0,0,0,0,33
19112,2012,Small portfolio,0,0,0,0,0,0,33
19112,2012,Single-purchase,3,214,3,214,0,0,33
19112,2013,High-filer,0,0,0,0,0,0,245
19112,2013,Low-filer,0,0,0,0,0,0,245
19112,2013,Small portfolio,0,0,0,0,0,0,245
19112,2013,Single-purchase,3,3,3,3,0,0,245
19112,2014,High-filer,0,0,0,0,0,0,245
19112,2014,Low-filer,0,0,0,0,0,0,245
19112,2014,Small portfolio,0,0,0,0,0,0,245
19112,2014,Single-purchase,1,1,1,1,0,0,245
19112,2015,High-filer,0,0,0,0,0,0,245
19112,2015,Low-filer,0,0,0,0,0,0,245
19112,2015,Small portfolio,0,0,0,0,0,0,245
19112,2015,Single-purchase,1,1,1,1,0,0,245
19112,2016,High-filer,0,0,0,0,0,0,245
19112,2016,Low-filer,0,0,0,0,0,0,245
19112,2016,Small portfolio,0,0,0,0,0,0,245
19112,2016,Single-purchase,3,3,3,3,0,0,245
19112,2017,High-filer,0,0,0,0,0,0,245
19112,2017,Low-filer,0,0,0,0,0,0,245
19112,2017,Small portfolio,0,0,0,0,0,0,245
19112,2017,Single-purchase,0,0,0,0,0,0,245
19112,2018,High-filer,0,0,0,0,0,0,245
19112,2018,Low-filer,0,0,0,0,0,0,245
19112,2018,Small portfolio,0,0,0,0,0,0,245
19112,2018,Single-purchase,3,3,3,3,0,0,245
19112,2019,High-filer,0,0,0,0,0,0,245
19112,2019,Low-filer,0,0,0,0,0,0,245
19112,2019,Small portfolio,0,0,0,0,0,0,245
19112,2019,Single-purchase,6,69,6,69,0,0,245
19114,2006,High-filer,0,0,2,2,-2,-2,5094
19114,2006,Low-filer,0,0,1,2,-1,-2,5094
