zip,pc1_gent,d_log_income,d_log_hp,d_crime,d_nanda,net_units_high_filer,acq_units_high_filer,net_units_low_filer,acq_units_low_filer,net_units_small_portfolio,acq_units_small_portfolio,net_units_single_purchase,acq_units_single_purchase,total_net_units,total_acq_units,high_filer_acq_share,total_units_mean
19132,-1.57692538024989,0.24300414478498,0.241897162302244,-3.04237188655401,0.0614850836506804,40,420,12,838,164,2315,-216,9757,0,13330,0.0315078769692423,8607.21428571429
19132,-1.57692538024989,0.24300414478498,0.241897162302244,-3.04237188655401,0.0614850836506804,40,420,12,838,164,2315,-216,9757,0,13330,0.0315078769692423,8607.21428571429
19132,-1.57692538024989,0.24300414478498,0.241897162302244,-3.04237188655401,0.0614850836506804,40,420,12,838,164,2315,-216,9757,0,13330,0.0315078769692423,8607.21428571429
19132,-1.57692538024989,0.24300414478498,0.241897162302244,-3.04237188655401,0.0614850836506804,40,420,12,838,164,2315,-216,9757,0,13330,0.0315078769692423,8607.21428571429
19133,-0.891447509746426,0.296639848891688,0.102112641346206,-78.824383387111,0.0294138852062931,14,135,-30,319,67,858,-51,6787,0,8099,0.0166687245338931,4929.42857142857
19133,-0.891447509746426,0.296639848891688,0.102112641346206,-78.824383387111,0.0294138852062931,14,135,-30,319,67,858,-51,6787,0,8099,0.0166687245338931,4929.42857142857
19133,-0.891447509746426,0.296639848891688,0.102112641346206,-78.824383387111,0.0294138852062931,14,135,-30,319,67,858,-51,6787,0,8099,0.0166687245338931,4929.42857142857
19133,-0.891447509746426,0.296639848891688,0.102112641346206,-78.824383387111,0.0294138852062931,14,135,-30,319,67,858,-51,6787,0,8099,0.0166687245338931,4929.42857142857
19134,-0.782885730449657,0.315169850014481,0.0363349584122457,-18.830188840362,0.248279524585752,146,846,-342,1198,689,3476,-493,18276,0,23796,0.0355521936459909,12734.2142857143
19134,-0.782885730449657,0.315169850014481,0.0363349584122457,-18.830188840362,0.248279524585752,146,846,-342,1198,689,3476,-493,18276,0,23796,0.0355521936459909,12734.2142857143
19134,-0.782885730449657,0.315169850014481,0.0363349584122457,-18.830188840362,0.248279524585752,146,846,-342,1198,689,3476,-493,18276,0,23796,0.0355521936459909,12734.2142857143
