PID,grantee_upper,owner_group_id,total_consideration,pid_in_bldg_panel,n_deeds_rtt,n_pids_rtt,n_pids_owner
021412710,JEFFERSON SQUARE COMMUNITY DEVELOPMENT C,13272,175000,FALSE,15,15,15
011323605,JEFFERSON SQUARE COMMUNITY DEVELOPMENT C,13272,25000,FALSE,15,15,15
313219800,PLEDGED PROPERTY II LLC,13631,9800,FALSE,63,63,96
302010600,HENKELS & WAGNER CO,14154,46000,FALSE,1,1,3
363109500,FINANCE SOURCE CO LLC,14169,10200,TRUE,84,84,113
233120800,WASHINGTON MUTUAL BANK FA,14522,4100,FALSE,282,282,281
401315200,WASHINGTON MUTUAL BANK FA,14522,20000,FALSE,282,282,281
082091800,WASHINGTON MUTUAL BANK FA,14522,480000,FALSE,282,282,281
491258700,WASHINGTON MUTUAL BANK FA,14522,8300,TRUE,282,282,281
591055700,WASHINGTON MUTUAL BANK FA,14522,12000,TRUE,282,282,281
321201800,TEMPLETOWN PROPERTIES II LP,14995,36500,TRUE,32,32,31
321079800,TEMPLETOWN PROPERTIES II LP,14995,13000,TRUE,32,32,31
881210020,SIMON GARDEN REALTY CO L P,15469,850000,TRUE,2,2,2
611293400,MORTGAGE ELECTRONIC REGISTRATION SYSTEMS INC,15664,80000,TRUE,14,14,94
043183200,FEDERAL FINANCIAL CO,15704,4800,TRUE,3,3,4
521417300,TEMPLE INLAND MORTGAGE CORPORATION,16955,10300,FALSE,1,1,2
122163600,EQUICREDIT CORPORATION OF AMERICA,17823,7300,TRUE,58,56,53
581248901,COSTA HOMES INC,18771,2000,FALSE,2,2,2
221128700,JJB INVESTMENTS LLC,18853,29000,FALSE,6,6,12
462057000,TIGER RELOCATION CO,21375,6300,FALSE,30,30,54
881170000,BASSMAN FAMILY L P NORTHEAST LLC; NORTHEAST APARTMENTS ASSOCIATES L P,21685,13621318.9,TRUE,6,6,6
552440200,HIBERNIAN COMMUNITY DEVELOPMENT CORP,22221,50000,FALSE,5,5,5
021568100,JK DEVELOPMENT ASSSOCIATES LP,22478,6000,FALSE,1,1,1
482171300,BANK ONE NATIONAL ASSOCIATION TR,22536,15000,TRUE,72,72,67
401159700,BANK ONE NATIONAL ASSOCIATION TR,22536,15000,TRUE,72,72,67
364307800,DECORA RENTALS LLC,22660,25000,TRUE,3,3,3
381171300,HOMEAMERICAN CREDIT INC; TIGER RELOCATION CO; UPLAND MORTGAGE,23796,2600,FALSE,21,21,25
883088503,CLIVIS LP,23845,150000,FALSE,1,1,1
663206700,M I S I LP,24028,64000,FALSE,27,27,27
612517000,M I S I LP,24028,47000,FALSE,27,27,27
351299200,CHASE BANK TR,24171,15600,FALSE,3,3,3
871270850,700 SANSOM STREET REAL ESTATE,24271,319000,TRUE,1,1,1
053046550,PRUDENTIAL RESIDENTIAL SERVICES LP,24336,379000,FALSE,6,6,16
452319000,LFC PROPERTIES INC,24540,20000,TRUE,35,35,32
131267500,WELLS FARGO BANK MINNESOTA N A TR,25965,6400,TRUE,158,158,149
