b,nhood,theta,theta_bad,units,year_built,old_bldg,new_bldg,first_year_active,exposure_years,unit_years,eta_sort,s,mbar,cbar,fbar,x,M_total,C_total,F_total,M,C,F,m_rate,c_rate,f_rate
57,4,G,0,1,1920,1,0,2011,9,9,0.240788464101498,0.238262516911791,0.345688570566939,0.136641615228235,0.111235842332687,0.111235842332687,3,0,0,0.333333333333333,0,0,0.333333333333333,0,0
58,13,G,0,1,1965,0,0,2011,9,9,-0.00400418900022034,0.196192400906711,0.228310665990588,0.0983162911935611,0.110913548163461,0.110913548163461,3,0,2,0.333333333333333,0,0.222222222222222,0.333333333333333,0,0.222222222222222
59,69,B,1,1,1915,1,0,2011,9,9,0.296037530135811,0.594343015848439,0.318407592330785,0.132591901292148,0.25922762504693,0.25922762504693,4,2,0,0.444444444444444,0.222222222222222,0,0.444444444444444,0.222222222222222,0
60,243,G,0,1,1950,0,0,2011,9,9,-0.0021390854314059,0.196490316186671,0.228310665990588,0.0983162911935611,0.110915827170951,0.110915827170951,3,1,1,0.333333333333333,0.111111111111111,0.111111111111111,0.333333333333333,0.111111111111111,0.111111111111111
61,278,G,0,1,1940,1,0,2011,9,9,-0.916824940189593,0.0885606109245147,0.345688570566939,0.136641615228235,0.110093237994323,0.110093237994323,4,4,1,0.444444444444444,0.444444444444444,0.111111111111111,0.444444444444444,0.444444444444444,0.111111111111111
62,89,G,0,1,1925,1,0,2011,9,9,-0.13388128440739,0.176292384633136,0.345688570566939,0.136641615228235,0.110761421990541,0.110761421990541,1,4,1,0.111111111111111,0.444444444444444,0.111111111111111,0.111111111111111,0.444444444444444,0.111111111111111
63,25,B,1,1,1992,0,0,2011,9,9,0.674037418351438,0.684878899607481,0.210191047580631,0.0928889044760624,0.260851387820551,0.260851387820551,0,0,0,0,0,0,0,0,0
64,291,G,0,1,1925,1,0,2011,9,9,0.216064163490419,0.233741801198127,0.345688570566939,0.136641615228235,0.111201164802823,0.111201164802823,1,0,0,0.111111111111111,0,0,0.111111111111111,0,0
65,286,G,0,2,1925,1,0,2011,9,18,-0.22274576282264,0.163623682475047,0.345688570566939,0.136641615228235,0.110664684495011,0.110664684495011,4,3,0,0.444444444444444,0.333333333333333,0,0.222222222222222,0.166666666666667,0
66,159,G,0,1,1925,1,0,2011,9,9,1.06840875042257,0.420566499802104,0.345688570566939,0.136641615228235,0.112643308630399,0.112643308630399,4,0,1,0.444444444444444,0,0.111111111111111,0.444444444444444,0,0.111111111111111
67,121,G,0,1,1875,1,0,2011,9,9,-0.109614268620497,0.179884738694393,0.345688570566939,0.136641615228235,0.110788868389573,0.110788868389573,1,6,0,0.111111111111111,0.666666666666667,0,0.111111111111111,0.666666666666667,0
68,110,G,0,1,1920,1,0,2011,9,9,0.216607288438517,0.233840456367207,0.345688570566939,0.136641615228235,0.111201921452015,0.111201921452015,7,0,3,0.777777777777778,0,0.333333333333333,0.777777777777778,0,0.333333333333333
69,158,G,0,1,1920,1,0,2011,9,9,-0.311600464280032,0.15170650216698,0.345688570566939,0.136641615228235,0.110573762699153,0.110573762699153,3,0,0,0.333333333333333,0,0,0.333333333333333,0,0
70,64,G,0,1,1920,1,0,2011,9,9,0.00742389907528702,0.19802325864416,0.345688570566939,0.136641615228235,0.110927554692709,0.110927554692709,3,2,2,0.333333333333333,0.222222222222222,0.222222222222222,0.333333333333333,0.222222222222222,0.222222222222222
71,199,G,0,1,1920,1,0,2011,9,9,-1.36583633712324,0.0582683639654148,0.345688570566939,0.136641615228235,0.109863463168194,0.109863463168194,3,3,2,0.333333333333333,0.333333333333333,0.222222222222222,0.333333333333333,0.333333333333333,0.222222222222222
72,67,G,0,3,1925,1,0,2011,9,27,-0.886386944602757,0.0910642895307429,0.345688570566939,0.136641615228235,0.110112250555932,0.110112250555932,9,1,3,1,0.111111111111111,0.333333333333333,0.333333333333333,0.037037037037037,0.111111111111111
73,151,G,0,1,1945,0,0,2011,9,9,-0.826232848493055,0.0962014600054161,0.228310665990588,0.0983162911935611,0.110151271742449,0.110151271742449,3,1,0,0.333333333333333,0.111111111111111,0,0.333333333333333,0.111111111111111,0
74,85,G,0,2,1920,1,0,2011,9,18,0.304857297333016,0.250258564587161,0.345688570566939,0.136641615228235,0.111327914108324,0.111327914108324,6,1,1,0.666666666666667,0.111111111111111,0.111111111111111,0.333333333333333,0.0555555555555556,0.0555555555555556
75,165,G,0,1,1900,1,0,2011,9,9,-1.05944156305992,0.0776446340637331,0.345688570566939,0.136641615228235,0.110010382046639,0.110010382046639,3,1,1,0.333333333333333,0.111111111111111,0.111111111111111,0.333333333333333,0.111111111111111,0.111111111111111
76,136,G,0,3,1915,1,0,2011,9,27,0.664216350898554,0.324732593929528,0.345688570566939,0.136641615228235,0.111901223023027,0.111901223023027,10,3,3,1.11111111111111,0.333333333333333,0.333333333333333,0.37037037037037,0.111111111111111,0.111111111111111
77,51,B,1,1,1925,1,0,2011,9,9,-0.269824371645071,0.447650796821261,0.319048656823764,0.138312078599249,0.256618125961659,0.256618125961659,2,2,4,0.222222222222222,0.222222222222222,0.444444444444444,0.222222222222222,0.222222222222222,0.444444444444444
78,74,G,0,3,1930,1,0,2011,9,27,0.402297995399404,0.269271198790931,0.345688570566939,0.136641615228235,0.111473995553605,0.111473995553605,7,1,2,0.777777777777778,0.111111111111111,0.222222222222222,0.259259259259259,0.037037037037037,0.0740740740740741
79,178,G,0,2,1925,1,0,2011,9,18,0.239337949869764,0.237995621955944,0.345688570566939,0.136641615228235,0.111233794733115,0.111233794733115,3,2,6,0.333333333333333,0.222222222222222,0.666666666666667,0.166666666666667,0.111111111111111,0.333333333333333
80,236,G,0,1,1925,1,0,2011,9,9,-0.565792417581366,0.121555487360588,0.345688570566939,0.136641615228235,0.110344059814553,0.110344059814553,3,2,0,0.333333333333333,0.222222222222222,0,0.333333333333333,0.222222222222222,0
81,98,B,1,1,1900,1,0,2011,9,9,-0.251534947241697,0.452386157663327,0.31902751697866,0.138123632405766,0.256701951286158,0.256701951286158,4,1,0,0.444444444444444,0.111111111111111,0,0.444444444444444,0.111111111111111,0
82,214,G,0,1,1925,1,0,2011,9,9,-0.663334427280924,0.111441764198448,0.345688570566939,0.136641615228235,0.110267116219943,0.110267116219943,2,3,0,0.222222222222222,0.333333333333333,0,0.222222222222222,0.333333333333333,0
83,127,G,0,1,1920,1,0,2011,9,9,-0.898239144708533,0.0900818545402731,0.345688570566939,0.136641615228235,0.110104789699881,0.110104789699881,6,1,2,0.666666666666667,0.111111111111111,0.222222222222222,0.666666666666667,0.111111111111111,0.222222222222222
84,212,B,1,1,1965,0,0,2011,9,9,-0.350016299169825,0.427017431009279,0.210721146764423,0.100052379322023,0.2562531936352,0.2562531936352,2,2,8,0.222222222222222,0.222222222222222,0.888888888888889,0.222222222222222,0.222222222222222,0.888888888888889
