scenario,c_source,bC_M_note,m0,bM_C,mean_m_rate_cf,zero_share_m_cf,beta_maint_on_c_rate_cf
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,2.5,0.227996030009329,0,1.48414240814261
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,2.75,0.244872733950582,0,1.621395511701
fixed_c_rate,c_rate,current_equilibrium_panel,0.167162610118016,3,0.264911501138835,0,1.75803192986917
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,-0.5,0.165830761556024,0,-0.33820875125529
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,-0.25,0.170113823193184,0,-0.165490100057274
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,0,0.174834572058507,0,0.00301796607729598
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,0.25,0.180063954785673,0,0.167161724284681
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,0.5,0.185887495077057,0,0.326868099459568
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,0.75,0.192408749409935,0,0.482201324256007
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,1,0.199753679712662,0,0.633406757738569
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,1.25,0.208076210585181,0,0.780919047411869
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,1.5,0.217565322962924,0,0.925321603804183
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,1.75,0.228454148647385,0,1.06726694083143
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,2,0.241031680712331,0,1.20738607936116
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,2.25,0.255657916872193,0,1.3462141109913
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,2.5,0.272783524794631,0,1.48414240805959
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,2.75,0.292975485101231,0,1.621395511701
fixed_c_rate,c_rate,current_equilibrium_panel,0.2,3,0.316950663730116,0,1.75803192986917
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,-0.5,0.248746142334029,0,-0.338208751723186
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,-0.25,0.255170734789772,0,-0.165490100111481
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,0,0.262251858087753,0,0.0030179660771617
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,0.25,0.270095932178501,0,0.167161724290639
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,0.5,0.278831242615583,0,0.326868099465534
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,0.75,0.288613124114898,0,0.482201324261492
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,1,0.299630519568989,0,0.633406757744036
fixed_c_rate,c_rate,current_equilibrium_panel,0.3,1.25,0.312114315877776,0,0.780919047418278
