apt_id,place_id,place_name,formatted_address,rating,user_ratings_total,url,types,text_search_query
1411 72nd ave,ChIJ55gYe0O3xokRimerves17I4,Mount West Apartments,"1414 71st Ave, Philadelphia, PA 19126, USA",1.8,4,https://maps.google.com/?cid=10298665734505195402,establishment|point_of_interest,"1411 72nd ave, philadelphia, PA 19126 apartments"
6624 n 5th st,ChIJKTIRiGy3xokRLK-dOCXu4xg,Eola Park Apartments,"6344 N 8th St, Philadelphia, PA 19126, USA",4.5,8,https://maps.google.com/?cid=1793538920254648108,establishment|point_of_interest,"6624 n 5th st, philadelphia, PA 19126 apartments"
6433 n broad st,ChIJAQDwRm-3xokRe9NNr4B6JDo,Shelton Court,"6433 N Broad St, Philadelphia, PA 19126, USA",,,https://maps.google.com/?cid=4189608246476919675,establishment|point_of_interest,"6433 n broad st, philadelphia, PA 19126 apartments"
161 leverington ave,ChIJAQAAVcC4xokRrSw6vIyGh4U,The Lofts At Chimney Hill,"161 Leverington Ave, Philadelphia, PA 19127, USA",3.9,12,https://maps.google.com/?cid=9621807067911826605,establishment|point_of_interest,"161 leverington ave, philadelphia, PA 19127 apartments"
4 leverington ave,ChIJBSLvzvq4xokRK010gT-Hh18,Leverington Court Apartments,"631 Leverington Ave, Philadelphia, PA 19128, USA",3.4,12,https://maps.google.com/?cid=6883619262283664683,establishment|point_of_interest|real_estate_agency,"4 leverington ave, philadelphia, PA 19127 apartments"
171 grape st,ChIJoRfCJ5W4xokRrTGA15RexWg,bridgeview at manayunk,"171 Grape St, Philadelphia, PA 19127, USA",,,https://maps.google.com/?cid=7549544343720178093,establishment|point_of_interest,"171 grape st, philadelphia, PA 19127 apartments"
1 cotton st,ChIJ9X2AoJW4xokRJrdbVP7kdTE,The Isle,"1 Cotton St, Philadelphia, PA 19127, USA",4.9,64,https://maps.google.com/?cid=3564006461121738534,establishment|point_of_interest|real_estate_agency,"1 cotton st, philadelphia, PA 19127 apartments"
3715 main st,ChIJvfp_e4-4xokRJsppasNBqv0,Yarn Factory Lofts,"3715 Main St, Philadelphia, PA 19127, USA",2.4,23,https://maps.google.com/?cid=18278494345196325414,establishment|point_of_interest,"3715 main st, philadelphia, PA 19127 apartments"
227 krams ave,ChIJIfwvODO5xokRpvwKY-Bzzf8,227 Krams Avenue,"227 Krams Ave, Philadelphia, PA 19127, USA",5,1,https://maps.google.com/?cid=18432516257468841126,establishment|point_of_interest,"227 krams ave, philadelphia, PA 19127 apartments"
140 green ln,ChIJa5KxRSu5xokROu5j3AvxZew,East Main Manayunk Apartments,"140 Green Ln, Philadelphia, PA 19127, USA",,,https://maps.google.com/?cid=17034286198843239994,establishment|point_of_interest,"140 green ln, philadelphia, PA 19127 apartments"
4602 canton st,ChIJx49yyMC4xokRY7mqxseOkPw,4602 Canton Apartment Homes,"4602 Canton St, Philadelphia, PA 19127, USA",,,https://maps.google.com/?cid=18199203082886887779,establishment|point_of_interest|real_estate_agency,"4602 canton st, philadelphia, PA 19127 apartments"
7033 ridge ave,ChIJ60KdFNi4xokRundhJCEZ2wI,Ridge Carlton Apartments,"7373 Ridge Ave, Philadelphia, PA 19128, USA",4.3,42,https://maps.google.com/?cid=205785838110472122,establishment|point_of_interest,"7033 ridge ave, philadelphia, PA 19128 apartments"
3901 manayunk ave,ChIJJfmCiY24xokRN0P5Ow2AEyo,Manayunk Garden Apartments,"3901 Manayunk Ave Suite 101, Philadelphia, PA 19128, USA",4.1,137,https://maps.google.com/?cid=3031907768479597367,establishment|point_of_interest|real_estate_agency,"3901 manayunk ave, philadelphia, PA 19128 apartments"
7014 ridge ave,ChIJsyDNvd64xokRwA7oBUT0ut8,Ridge Court Apartments,"7014 Ridge Ave, Philadelphia, PA 19128, USA",3.1,32,https://maps.google.com/?cid=16121466389120159424,establishment|point_of_interest|real_estate_agency,"7014 ridge ave, philadelphia, PA 19128 apartments"
205 rock st,ChIJz2hlkIu4xokRdT4GvYwHIWk,Rock Hill Apartments,"209 Rock St, Philadelphia, PA 19128, USA",4,21,https://maps.google.com/?cid=7575344349262003829,establishment|point_of_interest|real_estate_agency,"205 rock st, philadelphia, PA 19128 apartments"
608 walnut ln,ChIJ__8vd_S4xokRpba0hdGFm-0,Camaron Apartments,"616 Walnut Ln, Philadelphia, PA 19128, USA",2.6,11,https://maps.google.com/?cid=17121425543316944549,establishment|point_of_interest,"608 walnut ln, philadelphia, PA 19128 apartments"
631 dupont st,ChIJfwSWuvq4xokRgdqXnVMu89o,Donna Court Apartments,"631 Dupont St, Philadelphia, PA 19128, USA",3.3,28,https://maps.google.com/?cid=15777004856270117505,establishment|point_of_interest|real_estate_agency,"631 dupont st, philadelphia, PA 19128 apartments"
631 leverington ave,ChIJBSLvzvq4xokRK010gT-Hh18,Leverington Court Apartments,"631 Leverington Ave, Philadelphia, PA 19128, USA",3.4,12,https://maps.google.com/?cid=6883619262283664683,establishment|point_of_interest|real_estate_agency,"631 leverington ave, philadelphia, PA 19128 apartments"
6725 ridge ave,ChIJ6-uSXue4xokRTm-bLzJL260,Ridgeview Apartments,"6725 Ridge Ave, Philadelphia, PA 19128, USA",4.2,64,https://maps.google.com/?cid=12527689467380330318,establishment|point_of_interest|real_estate_agency,"6725 ridge ave, philadelphia, PA 19128 apartments"
701 summit ave,ChIJoZF-siS5xokRTs3pSis8jCA,Summit Gardens,"701 Summit Ave, Philadelphia, PA 19128, USA",2.9,17,https://maps.google.com/?cid=2345315662591282510,establishment|point_of_interest,"701 summit ave, philadelphia, PA 19128 apartments"
7373 ridge ave,ChIJ60KdFNi4xokRundhJCEZ2wI,Ridge Carlton Apartments,"7373 Ridge Ave, Philadelphia, PA 19128, USA",4.3,42,https://maps.google.com/?cid=205785838110472122,establishment|point_of_interest,"7373 ridge ave, philadelphia, PA 19128 apartments"
7841 ridge ave,ChIJz17oAia5xokRlHJkRnqmlDs,the metropolitan roxborough,"7841 Ridge Ave A-105, Philadelphia, PA 19128, USA",4.4,41,https://maps.google.com/?cid=4293239388888134292,establishment|point_of_interest,"7841 ridge ave, philadelphia, PA 19128 apartments"
7949 ridge ave,ChIJeUPJoiW5xokR5c_ljipySOA,The Ridge Apartments,"7949 Ridge Ave, Philadelphia, PA 19128, USA",3.5,55,https://maps.google.com/?cid=16161292789930643429,establishment|point_of_interest|real_estate_agency,"7949 ridge ave, philadelphia, PA 19128 apartments"
