term,estimate,std_error,t_value,p_value,sample,outcome,fe,level
tc_cov_c,-0.00330476204621935,0.0119773264159815,-0.275918175011894,0.782654869073363,full,bw,bg,bldg_year
tenant_comp_missing,0.00643292767221701,0.00611359574572203,1.0522330784986,0.292888622064653,full,bw,bg,bldg_year
log_total_area,0.0295698424464569,0.00612475672101212,4.82792113930209,1.54354641583054e-06,full,bw,bg,bldg_year
log_market_value,0.0294913543484978,0.00589450112628232,5.00319767808715,6.4129163857342e-07,full,bw,bg,bldg_year
tc_black_c,-0.0227039464734773,0.0126599442251568,-1.79336860176382,0.0737153800874144,pre,bw,tract,bldg_year
tc_female_c,-0.00405265225220348,0.0112817585415935,-0.359221679604485,0.719630367782157,pre,bw,tract,bldg_year
tc_black_female_c,0.00874371389702928,0.015701359134963,0.556876243761548,0.577942415064729,pre,bw,tract,bldg_year
tc_cov_c,-0.00260689145839485,0.0112954917322166,-0.230790435706271,0.817602804130048,pre,bw,tract,bldg_year
tenant_comp_missing,0.00620997463895008,0.00641988292679364,0.967303408763499,0.334012496209012,pre,bw,tract,bldg_year
log_total_area,0.0271493770022586,0.0056029927387551,4.84551350824895,1.84806711062591e-06,pre,bw,tract,bldg_year
log_market_value,0.0300475715817962,0.0062571909682093,4.80208638899753,2.26886987144524e-06,pre,bw,tract,bldg_year
tc_black_c,-0.030432167662823,0.0131773447371828,-2.30943094149703,0.0210761513560478,pre,bw,bg,bldg_year
tc_female_c,-0.0121620639420506,0.0122076016182203,-0.996269727863514,0.31930493705881,pre,bw,bg,bldg_year
tc_black_female_c,0.0182437770029043,0.0164789768662741,1.10709403568871,0.268458553779559,pre,bw,bg,bldg_year
tc_cov_c,-0.00330476204621935,0.0119773264159815,-0.275918175011894,0.782654869073363,pre,bw,bg,bldg_year
tenant_comp_missing,0.00643292767221701,0.00611359574572203,1.0522330784986,0.292888622064653,pre,bw,bg,bldg_year
log_total_area,0.0295698424464569,0.00612475672101212,4.82792113930209,1.54354641583054e-06,pre,bw,bg,bldg_year
