term,estimate,std_error,t_value,p_value,timing,sample,stem,model,conf_low,conf_high,stem_label,sample_label
lag_non_severe_2,0.00145083557856261,0.000338487001940621,4.28623719742455,1.81874471200687e-05,-2,full,non_severe,distributed_lag,0.000787401054758988,0.00211427010236622,Non-Severe Complaint,Full Sample
lag_non_severe_1,0.00268927114578654,0.00034834687521679,7.72009550570217,1.17185458513915e-14,-1,full,non_severe,distributed_lag,0.00200651127036163,0.00337203102121145,Non-Severe Complaint,Full Sample
filed_non_severe,0.00387159276596991,0.000361469267054109,10.7107107542572,9.33736753913614e-27,0,full,non_severe,distributed_lag,0.00316311300254386,0.00458007252939596,Non-Severe Complaint,Full Sample
lead_non_severe_1,0.00237686059037562,0.000346737495460291,6.85492806949062,7.17107258632292e-12,1,full,non_severe,distributed_lag,0.00169725509927345,0.00305646608147779,Non-Severe Complaint,Full Sample
lead_non_severe_2,0.00271857318200242,0.000341693772434392,7.95616836278281,1.79070295858879e-15,2,full,non_severe,distributed_lag,0.00204885338803101,0.00338829297597382,Non-Severe Complaint,Full Sample
lead_non_severe_3,0.00213854734396018,0.000345567822327556,6.18850253347113,6.09450128520321e-10,3,full,non_severe,distributed_lag,0.00146123441219817,0.00281586027572219,Non-Severe Complaint,Full Sample
lead_non_severe_4,0.0016528925376751,0.000332313589416181,4.97389390719457,6.57167572447562e-07,4,full,non_severe,distributed_lag,0.00100155790241939,0.00230422717293082,Non-Severe Complaint,Full Sample
lead_non_severe_5,0.00108760469549027,0.000329882992463157,3.29694079518736,0.000977740912810198,5,full,non_severe,distributed_lag,0.000441034030262478,0.00173417536071805,Non-Severe Complaint,Full Sample
lead_non_severe_6,0.000604749839640826,0.00032366455329587,1.86844630801448,0.0617024605876757,6,full,non_severe,distributed_lag,-2.96326848190796e-05,0.00123913236410073,Non-Severe Complaint,Full Sample
lead_non_severe_7,0.000493824221194378,0.000322717739254298,1.53020476139755,0.125968838957749,7,full,non_severe,distributed_lag,-0.000138702547744045,0.0011263509901328,Non-Severe Complaint,Full Sample
lead_non_severe_8,0.000219810443538168,0.000321441162874264,0.683827925374168,0.494085226063753,8,full,non_severe,distributed_lag,-0.00041021423569539,0.000849835122771726,Non-Severe Complaint,Full Sample
lead_non_severe_9,0.000268692854226647,0.000323873387872872,0.829623131407497,0.406753638435236,9,full,non_severe,distributed_lag,-0.000366098986004182,0.000903484694457477,Non-Severe Complaint,Full Sample
lead_non_severe_10,2.98416004325741e-05,0.000320177654088235,0.0932032577899714,0.925742250755904,10,full,non_severe,distributed_lag,-0.000597706601580367,0.000657389802445515,Non-Severe Complaint,Full Sample
lead_non_severe_11,-0.000427357570170045,0.000316102541324451,-1.35195866625887,0.176391231249563,11,full,non_severe,distributed_lag,-0.00104691855116597,0.000192203410825879,Non-Severe Complaint,Full Sample
lead_non_severe_12,-8.67475956578521e-05,0.000322018200472049,-0.269387244356649,0.78763219050455,12,full,non_severe,distributed_lag,-0.000717903268583068,0.000544408077267364,Non-Severe Complaint,Full Sample
lag_complaint_12,0.00047883131147083,0.000378484021579991,1.26512952771939,0.205827495856364,-12,pre,complaint,distributed_lag,-0.000262997370825953,0.00122065999376761,Any Complaint,Pre-COVID (<=2019)
lag_complaint_11,0.000456250836028706,0.000348619540013947,1.30873569510892,0.190626544809688,-11,pre,complaint,distributed_lag,-0.00022704346239863,0.00113954513445604,Any Complaint,Pre-COVID (<=2019)
lag_complaint_10,0.000653386982752236,0.000365720889718503,1.78657276934645,0.0740092331986304,-10,pre,complaint,distributed_lag,-6.34259610960309e-05,0.0013701999266005,Any Complaint,Pre-COVID (<=2019)
lag_complaint_9,0.000775409577232447,0.000351667450944078,2.20495122636685,0.0274595144345764,-9,pre,complaint,distributed_lag,8.61413733820545e-05,0.00146467778108284,Any Complaint,Pre-COVID (<=2019)
lag_complaint_8,0.00115958878697664,0.000360446868111118,3.21708659324283,0.00129535797172287,-8,pre,complaint,distributed_lag,0.000453112925478852,0.00186606464847444,Any Complaint,Pre-COVID (<=2019)
lag_complaint_7,0.0014790339294192,0.000352806539432626,4.19219533684874,2.76476855076022e-05,-7,pre,complaint,distributed_lag,0.00078753311213125,0.00217053474670714,Any Complaint,Pre-COVID (<=2019)
lag_complaint_6,0.00179237830115706,0.000353957993564654,5.06381642382562,4.11586436934224e-07,-6,pre,complaint,distributed_lag,0.00109862063377034,0.00248613596854378,Any Complaint,Pre-COVID (<=2019)
lag_complaint_5,0.00188337439273307,0.00035306373700442,5.33437505848835,9.60570923731343e-08,-5,pre,complaint,distributed_lag,0.0011913694682044,0.00257537931726173,Any Complaint,Pre-COVID (<=2019)
lag_complaint_4,0.00376930756118119,0.000362250239055054,10.4052590027645,2.4086169190056e-25,-4,pre,complaint,distributed_lag,0.00305929709263329,0.0044793180297291,Any Complaint,Pre-COVID (<=2019)
lag_complaint_3,0.00485159679468799,0.000373478579710883,12.9902946467337,1.47978453768987e-38,-3,pre,complaint,distributed_lag,0.00411957877845466,0.00558361481092132,Any Complaint,Pre-COVID (<=2019)
