block,sample,outcome,fe,group_var,group_level,ref_group_level,slope_var,slope_label,base_term,interaction_term,estimable,estimate,std_error,stat_value,p_value,conf_low,conf_high,num_units_bin,ref_num_units_bin
targeting,pre,same,bg,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.0562287623428806,0.0472906504786327,1.18900378349176,0.234438178096616,-0.0364609125952395,0.148918437281001,51+,1
targeting,pre,same,bg,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0469442580266005,0.0236428220746835,1.98556068638134,0.0470821253821215,0.000604326760220875,0.09328418929298,6-20,1
targeting,pre,same,bg,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,-0.00503675507944711,0.00629742732084965,-0.799811545703961,0.423819992632571,-0.0173797126283124,0.0073062024694182,1,1
targeting,pre,same,bg,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0152212896678247,0.00744847468936881,-2.04354452456555,0.0409985644968666,-0.0298203000589876,-0.000622279276661846,2-5,1
targeting,pre,same,bg,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0199049846476294,0.0508532572939928,0.391420052653751,0.695486772443095,-0.0797673996485965,0.119577368943855,21-50,1
targeting,pre,same,bg,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,-0.0157444708261523,0.0785909268412229,-0.200334459192227,0.841219014228007,-0.169782687434949,0.138293745782645,51+,1
targeting,pre,same,bg,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0442364179575768,0.0291340934317771,1.51837290084775,0.128920419212615,-0.0128664051687064,0.10133924108386,6-20,1
targeting,pre,same,tract,num_units_bin,1,1,tc_black_c,pct_black,tc_black_c,,TRUE,-0.0236785163737587,0.00701287134568049,-3.37643672706804,0.000734312594283935,-0.0374237442112925,-0.00993328853622492,1,1
targeting,pre,same,tract,num_units_bin,2-5,1,tc_black_c,pct_black,tc_black_c,num_units_bin::2-5:tc_black_c,TRUE,-0.00141238806423764,0.00985325409507076,-0.143342295916657,0.88601985340022,-0.0207247660905763,0.0178999899621011,2-5,1
targeting,pre,same,tract,num_units_bin,21-50,1,tc_black_c,pct_black,tc_black_c,num_units_bin::21-50:tc_black_c,TRUE,0.0370201738804916,0.0343315859059537,1.07831237339,0.280894377041839,-0.0302697344951776,0.104310082256161,21-50,1
targeting,pre,same,tract,num_units_bin,51+,1,tc_black_c,pct_black,tc_black_c,num_units_bin::51+:tc_black_c,TRUE,0.0689919570907369,0.0500935402344763,1.37726255257268,0.168431088473058,-0.0291913817688367,0.167175295950311,51+,1
targeting,pre,same,tract,num_units_bin,6-20,1,tc_black_c,pct_black,tc_black_c,num_units_bin::6-20:tc_black_c,TRUE,0.0427655263926743,0.022307340075721,1.91710559159044,0.0552245184173701,-0.000956860155738856,0.0864879129410875,6-20,1
targeting,pre,same,tract,num_units_bin,1,1,tc_female_c,pct_women,tc_female_c,,TRUE,-0.00573058551799252,0.00631092966006961,-0.908041418089473,0.363856339410061,-0.018100007651729,0.00663883661574391,1,1
targeting,pre,same,tract,num_units_bin,2-5,1,tc_female_c,pct_women,tc_female_c,num_units_bin::2-5:tc_female_c,TRUE,-0.0158912947666225,0.0075877194832509,-2.09434399910288,0.036229347505247,-0.0307632249537943,-0.00101936457945077,2-5,1
targeting,pre,same,tract,num_units_bin,21-50,1,tc_female_c,pct_women,tc_female_c,num_units_bin::21-50:tc_female_c,TRUE,0.0235719982129862,0.0505079112873068,0.466699129150291,0.640715152901074,-0.0754235079101351,0.122567504336108,21-50,1
targeting,pre,same,tract,num_units_bin,51+,1,tc_female_c,pct_women,tc_female_c,num_units_bin::51+:tc_female_c,TRUE,0.0128052678638436,0.0861217020328392,0.148688049139587,0.881799791811986,-0.155993268120521,0.181603803848208,51+,1
targeting,pre,same,tract,num_units_bin,6-20,1,tc_female_c,pct_women,tc_female_c,num_units_bin::6-20:tc_female_c,TRUE,0.0389178286306353,0.0311325877497328,1.25006725889561,0.211274978814993,-0.0221020433588409,0.0999377006201115,6-20,1
