building_type,num_units_bin,high_filing_longrun,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_black,mean_case_p_white
HIGHRISE_MULTI,51+,low_or_mid_filing,9440,0.163559322033898,0.211758474576271,0.62468220338983,0.516100320854823,0.409549575607509
HIGHRISE_MULTI,51+,high_filing,11653,0.500042907405818,0.285505878314597,0.214451214279585,0.598992782278533,0.330944283701176
HIGHRISE_MULTI,51+,missing,8,0,0,1,0.329466678965743,0.169383957878699
HIGHRISE_MULTI,6-20,low_or_mid_filing,190,0.378947368421053,0.115789473684211,0.505263157894737,0.562911005952974,0.369194627631505
HIGHRISE_MULTI,6-20,high_filing,493,0.304259634888438,0.26369168356998,0.432048681541582,0.494926043804473,0.42479791095524
LOWRISE_MULTI,1,low_or_mid_filing,379,0.0923482849604222,0.116094986807388,0.79155672823219,0.434756589841102,0.512329324484536
LOWRISE_MULTI,1,high_filing,2274,0.0919085312225154,0.143359718557608,0.764731750219877,0.541890393666224,0.376990434367266
LOWRISE_MULTI,1,missing,13,0,0,1,0.942029464980709,0.0555448634270292
LOWRISE_MULTI,2-5,low_or_mid_filing,2518,0.0957108816521048,0.120730738681493,0.783558379666402,0.444124278251663,0.478788395555315
LOWRISE_MULTI,2-5,high_filing,6382,0.244907552491382,0.20369790034472,0.551394547163898,0.615249467499998,0.339938338121036
LOWRISE_MULTI,2-5,missing,27,0,0.037037037037037,0.962962962962963,0.844041388403635,0.111433822391954
LOWRISE_MULTI,21-50,low_or_mid_filing,5954,0.185421565334229,0.198689956331878,0.615888478333893,0.542190729264513,0.402881476519075
LOWRISE_MULTI,21-50,high_filing,16735,0.287541081565581,0.280968031072602,0.431490887361817,0.531635418162923,0.407116213748117
LOWRISE_MULTI,21-50,missing,101,0.099009900990099,0.108910891089109,0.792079207920792,0.52329653813535,0.437390626769646
LOWRISE_MULTI,51+,low_or_mid_filing,4944,0.272249190938511,0.255461165048544,0.472289644012945,0.376997469422845,0.542199976596384
LOWRISE_MULTI,51+,high_filing,17867,0.412436335143001,0.254547489785638,0.333016175071361,0.39951493139768,0.547956876118976
LOWRISE_MULTI,51+,missing,49,0.326530612244898,0.408163265306122,0.26530612244898,0.713313502126352,0.255897192098179
LOWRISE_MULTI,6-20,low_or_mid_filing,4231,0.108721342472229,0.13802883479083,0.753249822736942,0.472322680381492,0.456690468828352
LOWRISE_MULTI,6-20,high_filing,9255,0.217396002160994,0.222258238789843,0.560345759049163,0.537551160509351,0.401195709182361
LOWRISE_MULTI,6-20,missing,94,0.0106382978723404,0,0.98936170212766,0.550765376159361,0.406763531995733
MIDRISE_MULTI,1,low_or_mid_filing,44,0.181818181818182,0.0909090909090909,0.727272727272727,0.359898557419353,0.622600635715789
MIDRISE_MULTI,1,high_filing,178,0.157303370786517,0.123595505617978,0.719101123595506,0.357537451869193,0.521966519169875
MIDRISE_MULTI,2-5,low_or_mid_filing,427,0.107728337236534,0.138173302107728,0.754098360655738,0.172854389217928,0.750941809955213
MIDRISE_MULTI,2-5,high_filing,336,0.130952380952381,0.160714285714286,0.708333333333333,0.411277632036296,0.536850745756066
MIDRISE_MULTI,2-5,missing,16,0,0,1,0.79055662367185,0.0538284296792686
MIDRISE_MULTI,21-50,low_or_mid_filing,897,0.199554069119287,0.241917502787068,0.558528428093645,0.41999927077634,0.460001508249723
MIDRISE_MULTI,21-50,high_filing,665,0.210526315789474,0.169924812030075,0.619548872180451,0.509187565731626,0.416611376859741
MIDRISE_MULTI,21-50,missing,57,0.105263157894737,0.0175438596491228,0.87719298245614,0.395197205645314,0.530994971500726
MIDRISE_MULTI,51+,low_or_mid_filing,2035,0.204914004914005,0.227518427518428,0.567567567567568,0.376689092718478,0.552662330335028
MIDRISE_MULTI,51+,high_filing,2730,0.393772893772894,0.264835164835165,0.341391941391941,0.469686055725624,0.42841243771869
MIDRISE_MULTI,51+,missing,64,0.03125,0.015625,0.953125,0.280986443586947,0.621953943273171
MIDRISE_MULTI,6-20,low_or_mid_filing,462,0.134199134199134,0.149350649350649,0.716450216450216,0.140980849979056,0.769780361426859
MIDRISE_MULTI,6-20,high_filing,182,0.142857142857143,0.054945054945055,0.802197802197802,0.349894530391104,0.574791706665435
MIDRISE_MULTI,6-20,missing,23,0.0434782608695652,0.0434782608695652,0.91304347826087,0.627238447441359,0.266129173163277
OTHER,1,low_or_mid_filing,553,0.0488245931283906,0.0650994575045208,0.886075949367089,0.56307324416197,0.33514225882676
OTHER,1,high_filing,670,0.0358208955223881,0.0671641791044776,0.897014925373134,0.564075167224736,0.341564210566137
OTHER,1,missing,1,0,0,1,0.932299747620989,0.0650406833959263
OTHER,2-5,low_or_mid_filing,452,0.0486725663716814,0.0730088495575221,0.878318584070797,0.462286967088218,0.427298742841161
OTHER,2-5,high_filing,145,0.0482758620689655,0.0827586206896552,0.868965517241379,0.469659953934466,0.35252941753361
OTHER,2-5,missing,6,0,0.166666666666667,0.833333333333333,0.64045847334548,0.343822615251529
OTHER,21-50,low_or_mid_filing,320,0.040625,0.1125,0.846875,0.336236781184742,0.529529645611573
OTHER,21-50,high_filing,190,0,0.0105263157894737,0.989473684210526,0.668840988877556,0.299571944763162
OTHER,21-50,missing,1,0,0,1,0.00226341747502285,0.997726015120018
