term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
building_type::COMMERCIAL:tc_black_c,-0.0319311260348558,0.0196245272365899,-1.62710294367348,0.1039797474893,full,complaint,bg,suppression,-0.070395199418572,0.0065329473488604
building_type::DETACHED:tc_black_c,0.00513183213043719,0.00491251174346896,1.04464526466727,0.296398927223022,full,complaint,bg,suppression,-0.00449669088676198,0.0147603551476364
building_type::HIGHRISE_MULTI:tc_black_c,0.0163646229897784,0.0958163172898332,0.170791608910175,0.864416636811609,full,complaint,bg,suppression,-0.171435358898295,0.204164604877851
building_type::LOWRISE_MULTI:tc_black_c,0.0137553092240301,0.00635035549769012,2.16606916400719,0.030503788173966,full,complaint,bg,suppression,0.00130861244855748,0.0262020059995028
building_type::MIDRISE_MULTI:tc_black_c,0.00984318042800914,0.0279666877733696,0.351960893895415,0.724929853669199,full,complaint,bg,suppression,-0.0449715276077952,0.0646578884638135
building_type::OTHER:tc_black_c,-0.010660980824141,0.00628460081979574,-1.6963656292314,0.0900779750278394,full,complaint,bg,suppression,-0.0229787984309406,0.00165683678265866
building_type::SMALL_MULTI_2_4:tc_black_c,-0.00104941777304395,0.00231601161925674,-0.453114209064606,0.650549039270751,full,complaint,bg,suppression,-0.00558880054678716,0.00348996500069925
building_type::TWIN:tc_black_c,0.00187998045314352,0.00323136072914158,0.58179219552592,0.560816761576151,full,complaint,bg,suppression,-0.00445348657597397,0.00821344748226101
building_type::COMMERCIAL:tc_female_c,0.0211374728906566,0.00950018881681293,2.22495292443542,0.026271159739633,full,complaint,bg,suppression,0.00251710280970325,0.0397578429716099
building_type::DETACHED:tc_female_c,-0.00186711589986917,0.00408023835746305,-0.457599712637885,0.647323513890534,full,complaint,bg,suppression,-0.00986438308049675,0.00613015128075841
building_type::HIGHRISE_MULTI:tc_female_c,-0.142552036236515,0.123983418610355,-1.14976694330809,0.250470694714064,full,complaint,bg,suppression,-0.385559536712811,0.10045546423978
building_type::LOWRISE_MULTI:tc_female_c,0.00101107776989625,0.00662546800919971,0.152604731996642,0.878735841356415,full,complaint,bg,suppression,-0.0119748395281352,0.0139969950679277
building_type::MIDRISE_MULTI:tc_female_c,-0.00369934938387066,0.0109984125055267,-0.336353031131695,0.736663914723653,full,complaint,bg,suppression,-0.025256237894703,0.0178575391269617
building_type::OTHER:tc_female_c,-0.0046981596008589,0.0112414055040062,-0.417933469189825,0.676071098257594,full,complaint,bg,suppression,-0.026731314388711,0.0173349951869932
building_type::SMALL_MULTI_2_4:tc_female_c,-0.0033093184674394,0.00273557210535925,-1.20973541913084,0.226620494194015,full,complaint,bg,suppression,-0.00867103979394353,0.00205240285906473
building_type::TWIN:tc_female_c,8.50730639815494e-06,0.0030478526731824,0.00279124593948043,0.997773378287721,full,complaint,bg,suppression,-0.00596528393303935,0.00598229854583566
tc_black_c,0.000808946762244247,0.00171669414773304,0.471223580107436,0.637764149804096,pre,complaint,tract,suppression,-0.00255577376731251,0.00417366729180101
tc_female_c,0.000760795061002239,0.00145327304272541,0.523504557392378,0.60094261535868,pre,complaint,tract,suppression,-0.00208762010273956,0.00360921022474404
tc_black_female_c,-0.00258984019988201,0.00224017494425562,-1.15608837002798,0.248405323028249,pre,complaint,tract,suppression,-0.00698058309062303,0.00180090269085901
tc_cov_c,0.00234775406112746,0.00152384290893334,1.54067984787936,0.124265968126639,pre,complaint,tract,suppression,-0.000638978040381891,0.00533448616263682
tenant_comp_missing,0.00302207976097973,0.000778155876664085,3.88364317691107,0.000122261099503495,pre,complaint,tract,suppression,0.00149689424271812,0.00454726527924133
building_type::COMMERCIAL:tc_black_c,-0.0396139269645017,0.0230736736378709,-1.7168452491017,0.0868604631970682,pre,complaint,tract,suppression,-0.0848383272947288,0.00561047336572529
building_type::DETACHED:tc_black_c,0.00998795984016492,0.0075818184279714,1.31735677068137,0.188549961020834,pre,complaint,tract,suppression,-0.00487240427865903,0.0248483239589889
building_type::HIGHRISE_MULTI:tc_black_c,-0.113803047729206,0.0790031612693691,-1.44048726532833,0.150591527878659,pre,complaint,tract,suppression,-0.26864924381717,0.0410431483587572
building_type::LOWRISE_MULTI:tc_black_c,0.0190005355391182,0.00865829715179222,2.19448873213888,0.0288333142226051,pre,complaint,tract,suppression,0.00203027312160541,0.0359707979566309
building_type::MIDRISE_MULTI:tc_black_c,0.00764029540168571,0.0366336697196919,0.208559378848655,0.834909199477134,pre,complaint,tract,suppression,-0.0641616972489105,0.0794422880522819
building_type::OTHER:tc_black_c,-0.0103991876713892,0.00837374177385893,-1.24188062543955,0.215082388090498,pre,complaint,tract,suppression,-0.0268117215481527,0.00601334620537432
building_type::SMALL_MULTI_2_4:tc_black_c,-0.00150105327558892,0.00256987707486912,-0.584095360150785,0.559518946401854,pre,complaint,tract,suppression,-0.0065380123423324,0.00353590579115455
building_type::TWIN:tc_black_c,0.000274167082713075,0.00308442690128304,0.088887528052303,0.929220314615466,pre,complaint,tract,suppression,-0.00577130964380169,0.00631964380922784
building_type::COMMERCIAL:tc_female_c,0.0149863613165867,0.0126145270668913,1.18802403269804,0.235600661104778,pre,complaint,tract,suppression,-0.00973811173452025,0.0397108343676937
building_type::DETACHED:tc_female_c,-0.000913321751836426,0.00527291215512537,-0.173210120890912,0.862582810630267,pre,complaint,tract,suppression,-0.0112482295758821,0.00942158607220929
building_type::HIGHRISE_MULTI:tc_female_c,-0.570323529769777,0.374404285844097,-1.52328258872352,0.128558691392307,pre,complaint,tract,suppression,-1.30415593002421,0.163508870484652
building_type::LOWRISE_MULTI:tc_female_c,-0.00978133162119428,0.00870546286161305,-1.12358547462482,0.261931432149837,pre,complaint,tract,suppression,-0.0268440388299559,0.0072813755875673
