term,estimate,std_error,t_value,p_value,sample,stem,fe
total_permits,0.0117335405183796,0.00237378500966202,4.94296681065073,1.17763953902824e-06,full,non_severe,tract
total_violations,0.0271442368147032,0.00198622730875605,13.6662287820941,1.36345267331463e-34,full,non_severe,tract
log_total_area,0.000925179318913051,0.000281627805376881,3.28511354791462,0.00111867626614987,full,non_severe,tract
log_market_value,-0.000574656604090916,0.000437389547896099,-1.31383250206844,0.189732278951472,full,non_severe,tract
tc_black_c,0.000401380555556059,0.000731083763674275,0.549021296190198,0.583093746571548,full,non_severe,bg
tc_female_c,0.000275499232602289,0.000637636175833212,0.432063366295503,0.665773568530413,full,non_severe,bg
tc_black_female_c,-0.00184759122227556,0.000875821143401504,-2.10955311617611,0.0351050755285824,full,non_severe,bg
tc_cov_c,0.0019292234148396,0.000646426671091339,2.98444278541688,0.00289889348833215,full,non_severe,bg
tenant_comp_missing,0.0022407688264726,0.00038169849390398,5.87052048215913,5.62687934189439e-09,full,non_severe,bg
total_permits,0.0116253376427837,0.00240306645567918,4.83770959197133,1.48543716635149e-06,full,non_severe,bg
total_violations,0.02689429233724,0.00181668608873857,14.804039346123,1.20891085302803e-45,full,non_severe,bg
log_total_area,0.00101697589537177,0.000301438339327738,3.37374435395249,0.000765382759346028,full,non_severe,bg
log_market_value,-0.000867380840936716,0.000484219627433786,-1.79129632876215,0.0734995874055474,full,non_severe,bg
tc_black_c,0.000690491811864332,0.00110999262965546,0.622068825879193,0.534287129736892,pre,non_severe,tract
tc_female_c,0.000808493647453905,0.000987593737055385,0.818650035048333,0.413523205897812,pre,non_severe,tract
tc_black_female_c,-0.00316740137197897,0.00147945185130917,-2.1409289995995,0.0329453472050805,pre,non_severe,tract
tc_cov_c,0.00191143785328781,0.00101809624853201,1.87746281949659,0.0612563552172237,pre,non_severe,tract
tenant_comp_missing,0.00285400991226972,0.00056573452748112,5.04478650963187,7.18939657057168e-07,pre,non_severe,tract
total_permits,0.0160561707892279,0.00377235294766126,4.2562748003689,2.64944420465878e-05,pre,non_severe,tract
total_violations,0.0369715331649325,0.00293930184840916,12.5783383509736,2.30371790413641e-30,pre,non_severe,tract
log_total_area,0.00146155985214282,0.000480174879994309,3.04380739817156,0.00250636631212414,pre,non_severe,tract
log_market_value,-0.00202844847261446,0.00076432081414865,-2.65392284897262,0.00830609081099636,pre,non_severe,tract
tc_black_c,-5.63997572182112e-05,0.00114973306285803,-0.0490546536758816,0.960883965770842,pre,non_severe,bg
tc_female_c,0.000821886303200053,0.000936316243346183,0.877787082132439,0.380236310991343,pre,non_severe,bg
tc_black_female_c,-0.00235944531111752,0.001373222837032,-1.71818094448318,0.0860235205140968,pre,non_severe,bg
tc_cov_c,0.00126007765804201,0.001113406057907,1.1317323532537,0.257974788722341,pre,non_severe,bg
tenant_comp_missing,0.00275112042533539,0.000578585859967039,4.75490435506342,2.22783619185355e-06,pre,non_severe,bg
total_permits,0.015821937776309,0.00375742817331886,4.21084237581948,2.73575902892237e-05,pre,non_severe,bg
total_violations,0.0365873818823491,0.00268376853437802,13.632838083344,1.96839369626778e-39,pre,non_severe,bg
log_total_area,0.00159783179206472,0.000535039382173593,2.98638164834435,0.00288071247880449,pre,non_severe,bg
