term,estimate,std_error,t_value,p_value,sample,outcome,fe,block,conf_low,conf_high
building_type::SMALL_MULTI_2_4:tc_female_c,-0.00186635890431766,0.00158313558698229,-1.17890022791746,0.239171673863105,pre,complaint,tract,suppression,-0.00496930465480295,0.00123658684616762
building_type::TWIN:tc_female_c,-0.00240507933627822,0.00178546201511372,-1.34703472598101,0.178767582462312,pre,complaint,tract,suppression,-0.00590458488590111,0.00109442621334467
tc_black_c,-0.000382984725569551,0.00105041912802632,-0.36460181974138,0.715466530831,pre,complaint,bg,suppression,-0.00244180621650114,0.00167583676536204
tc_female_c,2.6761372156994e-05,0.000707522433754034,0.0378240616555453,0.969833627455056,pre,complaint,bg,suppression,-0.00135998259800091,0.0014135053423149
tc_black_female_c,0.00150266785983532,0.00116904275712414,1.28538314845892,0.198881865082703,pre,complaint,bg,suppression,-0.000788655944127996,0.00379399166379864
tc_cov_c,-0.000804066931683395,0.000952257359906595,-0.844379855212948,0.3986088012421,pre,complaint,bg,suppression,-0.00267049135710032,0.00106235749373353
tenant_comp_missing,0.00550981116757354,0.00043861461713925,12.5618503175062,2.7604534945774e-34,pre,complaint,bg,suppression,0.00465012651798061,0.00636949581716647
building_type::COMMERCIAL:tc_black_c,0.0309670151553553,0.0124831491829397,2.48070536541186,0.0132350004179322,pre,complaint,bg,suppression,0.00650004275679342,0.0554339875539172
building_type::DETACHED:tc_black_c,0.00136434260386484,0.00370544046562792,0.368199844666413,0.71278273066748,pre,complaint,bg,suppression,-0.00589832070876588,0.00862700591649556
building_type::HIGHRISE_MULTI:tc_black_c,0.099867467469376,0.0386907049884837,2.58117466453768,0.00995259114374247,pre,complaint,bg,suppression,0.0240336856919479,0.175701249246804
building_type::LOWRISE_MULTI:tc_black_c,0.039101895083001,0.00607775440918389,6.4336089368658,1.73360036911438e-10,pre,complaint,bg,suppression,0.0271894964410006,0.0510142937250014
building_type::MIDRISE_MULTI:tc_black_c,0.0342720292994388,0.0140644948567483,2.43677641099174,0.0149490671947259,pre,complaint,bg,suppression,0.00670561938021218,0.0618384392186654
building_type::OTHER:tc_black_c,0.00440937616373645,0.0131776341206593,0.334610607895361,0.737971522231789,pre,complaint,bg,suppression,-0.0214187867127557,0.0302375390402286
building_type::SMALL_MULTI_2_4:tc_black_c,0.000954450335530574,0.00170948031769423,0.558327771107625,0.576714419637815,pre,complaint,bg,suppression,-0.00239613108715012,0.00430503175821127
building_type::TWIN:tc_black_c,-0.00108085392738398,0.00190717894802476,-0.566729162202323,0.570993685558486,pre,complaint,bg,suppression,-0.00481892466551251,0.00265721681074455
building_type::COMMERCIAL:tc_female_c,-0.0052361953083448,0.0105085447414271,-0.498279774905703,0.61836912285125,pre,complaint,bg,suppression,-0.0258329430015419,0.0153605523848523
building_type::DETACHED:tc_female_c,-0.00245460267494015,0.00453710758403075,-0.541006054954396,0.588593870553311,pre,complaint,bg,suppression,-0.0113473335396404,0.00643812818976012
building_type::HIGHRISE_MULTI:tc_female_c,0.0569036229644083,0.071085898107526,0.800491018321731,0.423569113538541,pre,complaint,bg,suppression,-0.0824247373263427,0.196231983255159
building_type::LOWRISE_MULTI:tc_female_c,-0.00173800854587185,0.00559277656250205,-0.310759517468423,0.756032068189693,pre,complaint,bg,suppression,-0.0126998506083759,0.00922383351663218
building_type::MIDRISE_MULTI:tc_female_c,-0.00621984003190487,0.00728443450005628,-0.853853519014663,0.39333968304122,pre,complaint,bg,suppression,-0.0204973316520152,0.00805765158820543
building_type::OTHER:tc_female_c,0.00720163994842038,0.013208087651827,0.54524471204764,0.585676508071841,pre,complaint,bg,suppression,-0.0186862118491605,0.0330894917460012
building_type::SMALL_MULTI_2_4:tc_female_c,-0.00207667610460862,0.00151831504365966,-1.36775046343684,0.171620909555971,pre,complaint,bg,suppression,-0.00505257359018155,0.000899221380964315
building_type::TWIN:tc_female_c,-0.00250954784979852,0.00192463622489074,-1.30390762542204,0.19249036941489,pre,complaint,bg,suppression,-0.00628183485058437,0.00126273915098732
tc_black_c,0.00031232305027798,0.000519311669586709,0.601417354103637,0.547918771206212,full,severe,tract,suppression,-0.000705527822111968,0.00133017392266793
