building_type,filing_rate_longrun_pre2019_cuts,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_black,mean_case_p_white
MIDRISE_MULTI,0,652,0.225460122699387,0.18558282208589,0.588957055214724,0.407425563693783,0.528192101230886
MIDRISE_MULTI,(0-5%],2054,0.149464459591042,0.179162609542356,0.671372930866602,0.360946283582274,0.567322304599375
MIDRISE_MULTI,(5-10%],1284,0.208722741433022,0.290498442367601,0.500778816199377,0.229934107268617,0.659836811171181
MIDRISE_MULTI,(10-20%],1960,0.183163265306122,0.215816326530612,0.601020408163265,0.490885129778249,0.384187019658534
MIDRISE_MULTI,20%+,2006,0.470588235294118,0.22382851445663,0.305583250249252,0.458648155307715,0.476367157224488
MIDRISE_MULTI,missing,160,0.05625,0.01875,0.925,0.422404771132802,0.48158744751655
OTHER,0,719,0.0723226703755216,0.105702364394993,0.821974965229486,0.583895656693281,0.34178099884162
OTHER,(0-5%],2030,0.0665024630541872,0.0684729064039409,0.865024630541872,0.223652602517334,0.671684576762471
OTHER,(5-10%],505,0.0356435643564356,0.0574257425742574,0.906930693069307,0.301308354528893,0.599024254913158
OTHER,(10-20%],565,0.015929203539823,0.0353982300884956,0.948672566371681,0.564675722736122,0.355186181889761
OTHER,20%+,876,0.0262557077625571,0.0445205479452055,0.929223744292237,0.627008094578389,0.300248688878544
OTHER,missing,73,0.0821917808219178,0.0410958904109589,0.876712328767123,0.446050711216714,0.397880227464532
ROW,0,19298,0.0683490517152037,0.0791791895533216,0.852471758731475,0.686213965879368,0.231902552323203
ROW,(0-5%],2563,0.123293015996879,0.133827545844713,0.742879438158408,0.513775508685587,0.376692526485422
ROW,(5-10%],25385,0.106952924955682,0.102580263935395,0.790466811108923,0.591374419717542,0.303165230501883
ROW,(10-20%],20127,0.104089034630099,0.108660008943211,0.787250956426691,0.626575670596272,0.278193658870974
ROW,20%+,41248,0.0826706749418154,0.094816718386346,0.822512606671839,0.673196791232712,0.246122400743135
ROW,missing,146,0.0410958904109589,0.0616438356164384,0.897260273972603,0.702163963838983,0.246642457821364
SMALL_MULTI_2_4,0,4938,0.0797893884163629,0.0984204131227217,0.821790198460916,0.594768546488827,0.33820645186433
SMALL_MULTI_2_4,(0-5%],6258,0.110418664109939,0.111856823266219,0.777724512623841,0.482443906714381,0.445362327105603
SMALL_MULTI_2_4,(5-10%],5824,0.120707417582418,0.121737637362637,0.757554945054945,0.522486034739408,0.407115392333672
SMALL_MULTI_2_4,(10-20%],9052,0.111356606274856,0.120194432169686,0.768448961555457,0.555574130592859,0.379723925481963
SMALL_MULTI_2_4,20%+,8488,0.105325164938737,0.112040527803959,0.782634307257304,0.644067342674356,0.295073597989671
SMALL_MULTI_2_4,missing,5,0.2,0.2,0.6,0.715893412021459,0.284098581431676
TWIN,0,2763,0.080709373868983,0.115092290988056,0.804198335142961,0.621610025458817,0.3240791050627
TWIN,(0-5%],2087,0.121226641111644,0.1126018207954,0.766171538092956,0.614233163502082,0.330816311032904
TWIN,(5-10%],4074,0.122729504172803,0.120274914089347,0.75699558173785,0.546774667209436,0.385593390529186
TWIN,(10-20%],4460,0.126233183856502,0.12914798206278,0.744618834080718,0.630335650959801,0.320303725837468
TWIN,20%+,6245,0.0991192954363491,0.110648518815052,0.790232185748599,0.620120551393237,0.329937243500198
TWIN,missing,1,0,0,1,0.999983506767402,0
