building_type,num_units_bin,high_filing_longrun,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_female,mean_case_p_male
HIGHRISE_MULTI,6-20,high_filing,457,0.347921225382932,0.227571115973742,0.424507658643326,0.563075842450766,0.436924157549234
LOWRISE_MULTI,1,low_or_mid_filing,363,0.121212121212121,0.112947658402204,0.765840220385675,0.522171983471074,0.477828016528926
LOWRISE_MULTI,1,high_filing,2116,0.103497164461248,0.138941398865785,0.757561436672968,0.616120494643982,0.383879505356018
LOWRISE_MULTI,1,missing,11,0,0,1,0.764731818181818,0.235268181818182
LOWRISE_MULTI,2-5,low_or_mid_filing,2332,0.11106346483705,0.118353344768439,0.770583190394511,0.521939525603399,0.478060474396601
LOWRISE_MULTI,2-5,high_filing,5930,0.260033726812816,0.189544688026981,0.550421585160202,0.592676978639685,0.407323021360315
LOWRISE_MULTI,2-5,missing,23,0,0.0434782608695652,0.956521739130435,0.824134782608696,0.175865217391304
LOWRISE_MULTI,21-50,low_or_mid_filing,5459,0.19893753434695,0.193991573548269,0.607070892104781,0.621324671795811,0.378675328204189
LOWRISE_MULTI,21-50,high_filing,15322,0.307857981986686,0.272353478658139,0.419788539355176,0.567594690640908,0.432405309359091
LOWRISE_MULTI,21-50,missing,94,0.106382978723404,0.106382978723404,0.787234042553192,0.575916843971631,0.424083156028369
LOWRISE_MULTI,51+,low_or_mid_filing,4496,0.289368327402135,0.239991103202847,0.470640569395018,0.572106650726572,0.427893349273428
LOWRISE_MULTI,51+,high_filing,16659,0.44138303619665,0.233267302959361,0.325349660843988,0.55270646517398,0.44729353482602
LOWRISE_MULTI,51+,missing,45,0.288888888888889,0.422222222222222,0.288888888888889,0.63293,0.36707
LOWRISE_MULTI,6-20,low_or_mid_filing,3925,0.118726114649682,0.133757961783439,0.747515923566879,0.558761931452836,0.441238068547164
LOWRISE_MULTI,6-20,high_filing,8580,0.238811188811189,0.212121212121212,0.549067599067599,0.586959384226884,0.413040615773116
LOWRISE_MULTI,6-20,missing,82,0,0,1,0.646021138211382,0.353978861788618
MIDRISE_MULTI,1,low_or_mid_filing,41,0.195121951219512,0.0975609756097561,0.707317073170732,0.45820162601626,0.54179837398374
MIDRISE_MULTI,1,high_filing,174,0.166666666666667,0.120689655172414,0.71264367816092,0.483544731800766,0.516455268199234
MIDRISE_MULTI,2-5,low_or_mid_filing,411,0.121654501216545,0.131386861313869,0.746958637469586,0.426044261962693,0.573955738037307
MIDRISE_MULTI,2-5,high_filing,318,0.157232704402516,0.144654088050314,0.69811320754717,0.506974344863732,0.493025655136268
MIDRISE_MULTI,2-5,missing,14,0,0,1,0.526715476190476,0.473284523809524
MIDRISE_MULTI,21-50,low_or_mid_filing,840,0.238095238095238,0.223809523809524,0.538095238095238,0.448404345238095,0.551595654761905
MIDRISE_MULTI,21-50,high_filing,622,0.226688102893891,0.152733118971061,0.620578778135048,0.464261548767417,0.535738451232583
MIDRISE_MULTI,21-50,missing,52,0.0961538461538462,0.0192307692307692,0.884615384615385,0.5378125,0.4621875
MIDRISE_MULTI,51+,low_or_mid_filing,1905,0.239370078740158,0.214173228346457,0.546456692913386,0.445317585301837,0.554682414698163
MIDRISE_MULTI,51+,high_filing,2513,0.414643851969757,0.257859132510943,0.3274970155193,0.515841200882396,0.484158799117604
