term,estimate,std_error,t_value,p_value,sample,stem,fe,level
cumulative_violations_count,0.0602211852227773,0.00278862570360498,21.5952915964759,1.98884773095173e-103,pre,severe,bg,parcel_longrun_pre
log_total_area,0.122774532299066,0.0227406653207027,5.39889799034572,6.70514834828618e-08,pre,severe,bg,parcel_longrun_pre
log_market_value,0.0790186307509491,0.0214073493899365,3.69119171699488,0.000223205813714517,pre,severe,bg,parcel_longrun_pre
tc_black_c,-0.155233721415543,0.0514015894463659,-3.02001792332744,0.00252759727406292,pre,non_severe,tract,parcel_longrun_pre
tc_female_c,-0.0442027255352514,0.0334334814875949,-1.3221095610893,0.18613167046624,pre,non_severe,tract,parcel_longrun_pre
tc_black_female_c,-0.130790930914442,0.0550442750608412,-2.37610415924048,0.0174965230461523,pre,non_severe,tract,parcel_longrun_pre
tc_cov_c,0.228290443823611,0.0489845780035857,4.66045545614172,3.15510438498168e-06,pre,non_severe,tract,parcel_longrun_pre
tenant_comp_missing,0.684612421890328,0.0371534178913423,18.4266336920206,8.03285676317822e-76,pre,non_severe,tract,parcel_longrun_pre
cumulative_permit_count,0.00941683539400422,0.00307958127102446,3.05782980387837,0.00222946160369336,pre,non_severe,tract,parcel_longrun_pre
cumulative_violations_count,0.06378764072437,0.00251299192742066,25.3831458940824,3.87138614748884e-142,pre,non_severe,tract,parcel_longrun_pre
log_total_area,0.156307243117637,0.0265269691864569,5.89238981728219,3.80649903609436e-09,pre,non_severe,tract,parcel_longrun_pre
log_market_value,-0.328525948037204,0.0295570142774562,-11.1149910120583,1.06061314062838e-28,pre,non_severe,tract,parcel_longrun_pre
tc_black_c,-0.176112428530822,0.0499264889052763,-3.52743468231771,0.000419607276029424,pre,non_severe,bg,parcel_longrun_pre
tc_female_c,-0.034869693318547,0.0347139453894351,-1.0044866098441,0.315144122167687,pre,non_severe,bg,parcel_longrun_pre
tc_black_female_c,-0.127408559643284,0.0567703805629535,-2.24427876614282,0.024814470880705,pre,non_severe,bg,parcel_longrun_pre
tc_cov_c,0.258757378154439,0.0415830227066391,6.22266880356262,4.8876845037794e-10,pre,non_severe,bg,parcel_longrun_pre
tenant_comp_missing,0.723115285132352,0.0263291390473264,27.4644485652401,4.66997082820674e-166,pre,non_severe,bg,parcel_longrun_pre
cumulative_permit_count,0.00869983514460465,0.00275214851935535,3.16110670751245,0.00157170908918706,pre,non_severe,bg,parcel_longrun_pre
cumulative_violations_count,0.0708037477096117,0.00197480329590116,35.8535697487288,1.61796367074109e-281,pre,non_severe,bg,parcel_longrun_pre
log_total_area,0.183639960573138,0.0230554799920498,7.96513282900477,1.65046392866461e-15,pre,non_severe,bg,parcel_longrun_pre
log_market_value,-0.303179102731836,0.0253422203308897,-11.9633993696397,5.52527807531176e-33,pre,non_severe,bg,parcel_longrun_pre
