term,estimate,std_error,t_value,p_value,timing,sample,stem,model,conf_low,conf_high,stem_label,sample_label
lead_non_severe_1,0.00409988122528332,0.000452516320351993,9.06018422074634,1.31393920141787e-19,1,pre,non_severe,distributed_lag,0.00321294923739341,0.00498681321317323,Non-Severe,Pre-COVID (<=2019)
lead_non_severe_2,0.00171313122887368,0.000436019171514168,3.92902730153922,8.5319685802892e-05,2,pre,non_severe,distributed_lag,0.000858533652705908,0.00256772880504145,Non-Severe,Pre-COVID (<=2019)
lead_non_severe_3,0.000435571421028734,0.000434215916507749,1.00312172923528,0.315803383356742,3,pre,non_severe,distributed_lag,-0.000415491775326455,0.00128663461738392,Non-Severe,Pre-COVID (<=2019)
lead_non_severe_4,-0.000184554532320687,0.000432935660585835,-0.426286280208366,0.669899727039129,4,pre,non_severe,distributed_lag,-0.00103310842706892,0.000663999362427549,Non-Severe,Pre-COVID (<=2019)
lag_severe_4,0.00288449579147819,0.000675503769856195,4.27014018306997,1.95442900277003e-05,-4,pre,severe,distributed_lag,0.00156050840256005,0.00420848318039633,Severe,Pre-COVID (<=2019)
lag_severe_3,0.00421588225891737,0.000661291160105918,6.37522851241822,1.83098734970149e-10,-3,pre,severe,distributed_lag,0.00291975158510977,0.00551201293272496,Severe,Pre-COVID (<=2019)
lag_severe_2,0.00930462681152383,0.000691187858529112,13.4617914604643,2.739454110679e-41,-2,pre,severe,distributed_lag,0.00794989860880677,0.0106593550142409,Severe,Pre-COVID (<=2019)
lag_severe_1,0.0290676676720353,0.000799330460484322,36.3650193618581,1.44000281562213e-288,-1,pre,severe,distributed_lag,0.0275009799694861,0.0306343553745846,Severe,Pre-COVID (<=2019)
filed_severe,0.0758305608195767,0.00102233842838601,74.1736383120137,0,0,pre,severe,distributed_lag,0.0738267774999401,0.0778343441392133,Severe,Pre-COVID (<=2019)
lead_severe_1,0.0176863879122142,0.000727879499175529,24.2985108555023,3.18784466710665e-130,1,pre,severe,distributed_lag,0.0162597440938302,0.0191130317305982,Severe,Pre-COVID (<=2019)
lead_severe_2,0.0034797827848733,0.000650014346133819,5.35339382210638,8.64174278748338e-08,2,pre,severe,distributed_lag,0.00220575466645102,0.00475381090329559,Severe,Pre-COVID (<=2019)
lead_severe_3,0.00344699464465562,0.000656363194319045,5.25165742761028,1.50895065631022e-07,3,pre,severe,distributed_lag,0.00216052278379029,0.00473346650552095,Severe,Pre-COVID (<=2019)
lead_severe_4,0.00369087020347853,0.000670834940557281,5.50190513394014,3.7618211294251e-08,4,pre,severe,distributed_lag,0.00237603371998626,0.00500570668697081,Severe,Pre-COVID (<=2019)
lag_complaint_4,0.000393283076458133,0.000890133301096492,0.441824922147813,0.658616986599327,-4,pre_hi_black,complaint,distributed_lag,-0.00135137819369099,0.00213794434660726,Full,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_complaint_3,0.00192888490391991,0.000872896444627332,2.20975227450195,0.0271249201399324,-3,pre_hi_black,complaint,distributed_lag,0.000218007872450338,0.00363976193538948,Full,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_complaint_2,0.00487390527239071,0.000884405662303839,5.51093856601324,3.57920944762046e-08,-2,pre_hi_black,complaint,distributed_lag,0.00314047017427518,0.00660734037050624,Full,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_complaint_1,0.0221350389774057,0.00100849145244017,21.9486629498418,1.72315768764273e-106,-1,pre_hi_black,complaint,distributed_lag,0.0201583957306229,0.0241116822241884,Full,Pre-COVID: pct_black >= mean cutoff (0.379)
filed_complaint,0.0576870739373256,0.00124174751164586,46.4563636297245,0,0,pre_hi_black,complaint,distributed_lag,0.0552532488144997,0.0601208990601515,Full,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_complaint_1,0.0132279617357403,0.000926819482076658,14.2724252042062,3.66031603937275e-46,1,pre_hi_black,complaint,distributed_lag,0.01141139555087,0.0150445279206105,Full,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_complaint_2,0.00252454069749816,0.000866371747688936,2.91392315623451,0.00357007440467318,2,pre_hi_black,complaint,distributed_lag,0.000826452072027841,0.00422262932296847,Full,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_complaint_3,0.00183580013562196,0.000874331813527082,2.09966068627456,0.0357615357899521,3,pre_hi_black,complaint,distributed_lag,0.000122109781108874,0.00354949049013504,Full,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_complaint_4,0.00172241542523621,0.000888409151223456,1.93876371361576,0.0525333044930825,4,pre_hi_black,complaint,distributed_lag,-1.88665111617613e-05,0.00346369736163419,Full,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_non_severe_4,0.000126363941547405,0.00114146544871552,0.110703255792456,0.911851916161316,-4,pre_hi_black,non_severe,distributed_lag,-0.00211090833793501,0.00236363622102982,Non-Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_non_severe_3,-0.000280181903242276,0.00110384448523446,-0.253823710667689,0.799632346788612,-3,pre_hi_black,non_severe,distributed_lag,-0.00244371709430182,0.00188335328781727,Non-Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_non_severe_2,0.000456815918609579,0.00108692271229408,0.420283717915337,0.674279227486435,-2,pre_hi_black,non_severe,distributed_lag,-0.00167355259748682,0.00258718443470598,Non-Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_non_severe_1,0.003739991641804,0.00116303209958082,3.21572520926289,0.0013016225827966,-1,pre_hi_black,non_severe,distributed_lag,0.00146044872662559,0.00601953455698241,Non-Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
filed_non_severe,0.00630606573644248,0.00119676928786981,5.26924094757393,1.37310171970938e-07,0,pre_hi_black,non_severe,distributed_lag,0.00396039793221766,0.0086517335406673,Non-Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_non_severe_1,0.00416957776961513,0.0011410342456656,3.6542091400446,0.00025812552136811,1,pre_hi_black,non_severe,distributed_lag,0.00193315064811055,0.0064060048911197,Non-Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_non_severe_2,0.00325351584636616,0.00113585824639461,2.864367852849,0.00417941124519411,2,pre_hi_black,non_severe,distributed_lag,0.00102723368343273,0.00547979800929959,Non-Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_non_severe_3,0.000253683576130608,0.00108627416772808,0.23353549561174,0.815346152267035,3,pre_hi_black,non_severe,distributed_lag,-0.00187541379261643,0.00238278094487765,Non-Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_non_severe_4,0.000139600434858573,0.00108765234263778,0.128350235995458,0.897872104089938,4,pre_hi_black,non_severe,distributed_lag,-0.00199219815671148,0.00227139902642863,Non-Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_severe_4,0.0009866869689031,0.00119593326684552,0.825035138879997,0.409353874334098,-4,pre_hi_black,severe,distributed_lag,-0.00135734223411411,0.00333071617192031,Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_severe_3,0.00408324368816358,0.00118228489924598,3.45368843902831,0.000553235518595504,-3,pre_hi_black,severe,distributed_lag,0.00176596528564146,0.00640052209068569,Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_severe_2,0.0087770755287704,0.00121120533523703,7.24656280270823,4.3096366921276e-13,-2,pre_hi_black,severe,distributed_lag,0.00640311307170582,0.011151037985835,Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_severe_1,0.0351409621845447,0.00140614267037716,24.9910360625918,2.30950485667938e-137,-1,pre_hi_black,severe,distributed_lag,0.0323849225506055,0.0378970018184839,Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
filed_severe,0.0873055806775376,0.00177053600557551,49.310254297347,0,0,pre_hi_black,severe,distributed_lag,0.0838353301066096,0.0907758312484657,Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_severe_1,0.0185591197282767,0.0012724759149744,14.5850459799469,3.97973351272727e-48,1,pre_hi_black,severe,distributed_lag,0.0160650669349269,0.0210531725216265,Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_severe_2,0.00221759086447146,0.00115807312955727,1.9148970888559,0.0555088624048749,2,pre_hi_black,severe,distributed_lag,-5.22324694607924e-05,0.0044874141984037,Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_severe_3,0.00309974297229156,0.001189753806164,2.60536503958389,0.00917918404490722,3,pre_hi_black,severe,distributed_lag,0.000767825512210115,0.005431660432373,Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lead_severe_4,0.00306163067563198,0.00123525702448168,2.47853735291783,0.0131940868433199,4,pre_hi_black,severe,distributed_lag,0.000640526907647882,0.00548273444361607,Severe,Pre-COVID: pct_black >= mean cutoff (0.379)
lag_complaint_4,0.00121671944155427,0.00066595265396197,1.8270359526546,0.0676968844825109,-4,pre_lo_black,complaint,distributed_lag,-8.85477602111944e-05,0.00252198664331973,Full,Pre-COVID: pct_black < mean cutoff (0.379)
lag_complaint_3,0.00104700000693553,0.000650363458924551,1.60986905486182,0.107429116540344,-3,pre_lo_black,complaint,distributed_lag,-0.000227712372556589,0.00232171238642765,Full,Pre-COVID: pct_black < mean cutoff (0.379)
lag_complaint_2,0.00353080136379668,0.000664579146252392,5.3128380324708,1.08125712787906e-07,-2,pre_lo_black,complaint,distributed_lag,0.00222822623714199,0.00483337649045137,Full,Pre-COVID: pct_black < mean cutoff (0.379)
