term,estimate,std_error,t_value,p_value,sample,stem,spec,model,conf_low,conf_high,stem_label,sample_label
filed_complaint:tc_female_c,0.0116916437069372,0.00273095394720167,4.28115740249565,1.99231167321442e-05,pre,complaint,tract_tenant_augmented,same_period,0.00633897397042188,0.0170443134434524,Any Complaint,Pre-COVID (<=2019)
filed_complaint:tc_black_female_c,-0.00484319457953095,0.00450909606878759,-1.07409434300059,0.282974788045457,pre,complaint,tract_tenant_augmented,same_period,-0.0136810228743546,0.00399463371529273,Any Complaint,Pre-COVID (<=2019)
filed_complaint:tc_cov_c,-0.00851534569726211,0.00367984160547755,-2.31405223653833,0.0208162931603845,pre,complaint,tract_tenant_augmented,same_period,-0.0157278352439981,-0.00130285615052612,Any Complaint,Pre-COVID (<=2019)
filed_severe,0.0878778085840985,0.00224127190619982,39.208901133776,2.89516977050265e-224,pre,severe,tract_baseline,same_period,0.0834849156479468,0.0922707015202501,Severe Complaint,Pre-COVID (<=2019)
filed_severe,0.0877578129204432,0.00232763699918618,37.702533922225,2.48634936334479e-212,pre,severe,tract_tenant_augmented,same_period,0.0831956444020383,0.0923199814388481,Severe Complaint,Pre-COVID (<=2019)
filed_severe:tc_black_c,0.0152576582031027,0.00633688475255466,2.40775377790353,0.0161861366823636,pre,severe,tract_tenant_augmented,same_period,0.00283736408809561,0.0276779523181099,Severe Complaint,Pre-COVID (<=2019)
filed_severe:tc_female_c,0.016305740709501,0.00521151126463868,3.12879314300619,0.0017933049582704,pre,severe,tract_tenant_augmented,same_period,0.00609117863080921,0.0265203027881928,Severe Complaint,Pre-COVID (<=2019)
filed_severe:tc_black_female_c,-0.0147354507014177,0.00737095278591134,-1.99912428276337,0.0457976208967101,pre,severe,tract_tenant_augmented,same_period,-0.0291825181618039,-0.000288383241031425,Severe Complaint,Pre-COVID (<=2019)
filed_severe:tc_cov_c,-0.0157514205960257,0.00576344043731305,-2.73298922186295,0.00635920816553911,pre,severe,tract_tenant_augmented,same_period,-0.0270477638531592,-0.0044550773388921,Severe Complaint,Pre-COVID (<=2019)
filed_non_severe,0.00791719561512405,0.000690480401361253,11.4662133776942,4.28628450597919e-29,pre,non_severe,tract_baseline,same_period,0.00656385402845599,0.00927053720179211,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe,0.00798700301579298,0.000703884626834512,11.347034316848,1.49292438916913e-28,pre,non_severe,tract_tenant_augmented,same_period,0.00660738914719734,0.00936661688438863,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe:tc_black_c,-0.0026228845678023,0.00264842938025167,-0.990354731509985,0.32218049429891,pre,non_severe,tract_tenant_augmented,same_period,-0.00781380615309556,0.00256803701749097,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe:tc_female_c,0.00250793861455307,0.00188014016871399,1.33391044789416,0.18246106128781,pre,non_severe,tract_tenant_augmented,same_period,-0.00117713611612635,0.00619301334523248,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe:tc_black_female_c,0.000930992136410623,0.00366284730444478,0.254171702784576,0.799402111477276,pre,non_severe,tract_tenant_augmented,same_period,-0.00624818858030114,0.00811017285312238,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe:tc_cov_c,-0.00259282285255637,0.00280160242314269,-0.92547851584447,0.354884566708239,pre,non_severe,tract_tenant_augmented,same_period,-0.00808396360191605,0.00289831789680331,Non-Severe Complaint,Pre-COVID (<=2019)
