term,estimate,std_error,t_value,p_value,timing,sample,stem,conf_low,conf_high,stem_label,sample_label
lead_non_severe_3,0.000909149861425676,0.000585728270681321,1.55217001967166,0.120624853740052,3,full,non_severe,-0.000238877549109713,0.00205717727196106,Non-Severe Complaint,Full Sample
lead_non_severe_4,-0.000332134204208773,0.000576821581138757,-0.57580058560409,0.564751331365395,4,full,non_severe,-0.00146270450324074,0.00079843609482319,Non-Severe Complaint,Full Sample
lag_complaint_4,0.00158167968965119,0.000574381488816814,2.75370937338065,0.00589351805194794,-4,pre,complaint,0.000455891971570239,0.00270746740773215,Any Complaint,Pre-COVID (<=2019)
lag_complaint_3,0.00256105630259278,0.000562163839099802,4.55571156389891,5.22728673313835e-06,-3,pre,complaint,0.00145921517795716,0.00366289742722839,Any Complaint,Pre-COVID (<=2019)
lag_complaint_2,0.00574842011612517,0.00057473922054768,10.0017884818221,1.53709777230035e-23,-2,pre,complaint,0.00462193124385171,0.00687490898839862,Any Complaint,Pre-COVID (<=2019)
lag_complaint_1,0.0221943693121637,0.000649296285979321,34.1821904597657,1.5375804737376e-254,-1,pre,complaint,0.0209217485916442,0.0234669900326831,Any Complaint,Pre-COVID (<=2019)
filed_complaint,0.0632081341928939,0.000817283885086479,77.339264050466,0,0,pre,complaint,0.0616062577781244,0.0648100106076634,Any Complaint,Pre-COVID (<=2019)
lead_complaint_1,0.0160703395683266,0.000612382017402248,26.2423440134603,3.00949719191403e-151,1,pre,complaint,0.0148700708142182,0.017270608322435,Any Complaint,Pre-COVID (<=2019)
lead_complaint_2,0.00344468629490224,0.000548997365297752,6.27450423743654,3.52244134659708e-10,2,pre,complaint,0.00236865145891865,0.00452072113088584,Any Complaint,Pre-COVID (<=2019)
lead_complaint_3,0.0022536294562084,0.00053991221793862,4.17406641548646,2.99474478796683e-05,3,pre,complaint,0.0011954015090487,0.0033118574033681,Any Complaint,Pre-COVID (<=2019)
lead_complaint_4,0.00198553553608659,0.000536404260123167,3.70156556107641,0.000214393349160283,4,pre,complaint,0.000934183186245181,0.00303688788592799,Any Complaint,Pre-COVID (<=2019)
lag_severe_4,0.00513770263924041,0.000860376673187097,5.97145738529706,2.35968937889091e-09,-4,pre,severe,0.0034513643597937,0.00682404091868711,Severe Complaint,Pre-COVID (<=2019)
lag_severe_3,0.00669418561662307,0.000854434820847182,7.83463577711605,4.75002782230983e-15,-3,pre,severe,0.0050194933677626,0.00836887786548355,Severe Complaint,Pre-COVID (<=2019)
lag_severe_2,0.0137694022542866,0.000897274072519544,15.3458153712412,4.37096457556497e-53,-2,pre,severe,0.0120107450721483,0.0155280594364249,Severe Complaint,Pre-COVID (<=2019)
lag_severe_1,0.0414944271943414,0.00102826706153918,40.3537453900639,0,-1,pre,severe,0.0394790237537246,0.0435098306349582,Severe Complaint,Pre-COVID (<=2019)
filed_severe,0.109560870006603,0.00132603290310121,82.623040310969,0,0,pre,severe,0.106961845516524,0.112159894496681,Severe Complaint,Pre-COVID (<=2019)
lead_severe_1,0.024129295587013,0.000938680682911979,25.7055418591964,3.1645084408484e-145,1,pre,severe,0.0222894814485055,0.0259691097255204,Severe Complaint,Pre-COVID (<=2019)
lead_severe_2,0.00486722758417056,0.000814053074080116,5.97900522600514,2.25296354636644e-09,2,pre,severe,0.00327168355897353,0.00646277160936759,Severe Complaint,Pre-COVID (<=2019)
lead_severe_3,0.00480260548462289,0.000810772884857361,5.92349050433256,3.16251075376777e-09,3,pre,severe,0.00321349063030246,0.00639172033894332,Severe Complaint,Pre-COVID (<=2019)
lead_severe_4,0.00566310729876452,0.000816019932405128,6.93991295295097,3.94823428597659e-12,4,pre,severe,0.00406370823125047,0.00726250636627857,Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_4,-0.000230940551673208,0.000675147033158797,-0.34205964083514,0.732306760347979,-4,pre,non_severe,-0.00155422873666445,0.00109234763331803,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_3,-0.000167028447891203,0.000650810361289358,-0.256646878762491,0.797451934328136,-3,pre,non_severe,-0.00144261675601834,0.00110855986023594,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_2,-0.000531748448397922,0.000639118714889878,-0.832002624879392,0.405409538543433,-2,pre,non_severe,-0.00178442112958208,0.000720924232786238,Non-Severe Complaint,Pre-COVID (<=2019)
lag_non_severe_1,0.00394372594944107,0.00067955409565061,5.80340251744832,6.5186626779609e-09,-1,pre,non_severe,0.00261179992196587,0.00527565197691626,Non-Severe Complaint,Pre-COVID (<=2019)
filed_non_severe,0.0116297146569247,0.000734614494121933,15.8310443776711,2.24148644358112e-56,0,pre,non_severe,0.0101898702484457,0.0130695590654037,Non-Severe Complaint,Pre-COVID (<=2019)
lead_non_severe_1,0.00889188044015935,0.000705939728208778,12.5958068158612,2.37981527158977e-36,1,pre,non_severe,0.00750823857287015,0.0102755223074486,Non-Severe Complaint,Pre-COVID (<=2019)
lead_non_severe_2,0.00378387462634559,0.000666456161266915,5.67760468918549,1.36987839244994e-08,2,pre,non_severe,0.00247762055026244,0.00509012870242875,Non-Severe Complaint,Pre-COVID (<=2019)
lead_non_severe_3,0.00100572918623121,0.000649101995719041,1.54941625948495,0.121284993743843,3,pre,non_severe,-0.000266510725378107,0.00227796909784053,Non-Severe Complaint,Pre-COVID (<=2019)
lead_non_severe_4,-2.95191279929238e-05,0.000637177197655057,-0.0463279729744885,0.96304894067905,4,pre,non_severe,-0.00127838643539684,0.00121934817941099,Non-Severe Complaint,Pre-COVID (<=2019)
