model,term,estimate,std_error,t_stat,p_value
B3,num_units_bin51+,-0.244563325727855,0.0280647149570757,-8.71426366175136,3.04443802301406e-18
B3,num_units_bin6-20,-0.109493536185918,0.025185493059581,-4.34748432071153,1.38071173932806e-05
B4,plaintiff_typeFor-profit corp,-0.0448893994689555,0.0124836736749585,-3.59584851685133,0.000323751929801067
B4,plaintiff_typeNonprofit,-0.20711922980795,0.0388456245372889,-5.33185480411394,9.77774925096576e-08
B4,plaintiff_typePHA,-0.562292190416421,0.0400407815247852,-14.0429873994433,1.1048217199933e-44
B4,high_filer_bldgTRUE,-0.155409181913242,0.00790307760585111,-19.6643876808427,1.1806554361191e-85
B4,owner_typeFor-profit corp,0.0242688671219256,0.0118431567540779,2.04918904865202,0.0404505921853027
B4,owner_typeNonprofit,-0.0131536262289772,0.0338529711246701,-0.388551603950401,0.697610084565461
B4,owner_typePHA,0.0795752955686034,0.0464707244945268,1.71237475710058,0.0868359152732932
B4,owner_typeReligious,-0.133810298368091,0.0827088091077173,-1.6178482051872,0.105703745679552
B4,owner_typeTrust,-0.0449354382222508,0.0408940356338735,-1.09882621085774,0.271850948876761
B4,owner_typeGovernment-Local,0.074809147230331,0.115462136066293,0.647910646546321,0.517046720661939
B4,owner_typeFinancial-Intermediary,-0.0559695427198713,0.0478474452264417,-1.16974986762598,0.242109096208749
B4,plaintiff_is_ownerTRUE,-0.0134946985555491,0.0115247842347933,-1.17092852071006,0.241634968405232
B4,total_units_conglomerate_yr_net_parcel_binsmall landlord,-0.0134066689385821,0.008910511705176,-1.50459023927822,0.132437899670486
B4,total_units_conglomerate_yr_net_parcel_binmedium landlord,0.00538879214797773,0.0127040915156975,0.424177686481493,0.671438671745788
B4,total_units_conglomerate_yr_net_parcel_binlarge landlord,-0.0279713579168049,0.0167999382747543,-1.66496789805699,0.0959275346378981
B4,log_ongoing_rent,-0.26407787063043,0.00888911562521248,-29.7080026590516,1.02978444043939e-191
B4,pct_black,0.00428490067006091,0.0143347222134823,0.298917593675503,0.765004583119068
B4,num_units_bin2-5,-0.0707045521932592,0.0105006837779971,-6.73332838966278,1.6821785515596e-11
B4,num_units_bin21-50,-0.143131318085418,0.0248666585723906,-5.75595300304388,8.68262486312201e-09
B4,num_units_bin51+,-0.240639079336881,0.0278114555773512,-8.65251653828756,5.23481557778095e-18
B4,num_units_bin6-20,-0.107541013570987,0.0252422428607682,-4.26035888190146,2.04597295861526e-05
B4,plaintiff_typeFor-profit corp:high_filer_bldgTRUE,0.0539521090841045,0.0145380721568787,3.71109102375566,0.000206666734333559
B4,plaintiff_typeNonprofit:high_filer_bldgTRUE,0.223879059455487,0.0355147759081087,6.30382858207396,2.93614308710996e-10
B4,plaintiff_typePHA:high_filer_bldgTRUE,0.336522134332313,0.0441254549189747,7.6264853234998,2.4694097644068e-14
B5,plaintiff_typeFor-profit corp,-0.00862076200863982,0.00810402849109117,-1.06376254946743,0.28744314440893
B5,plaintiff_typeNonprofit,-0.0665422487991314,0.0220511386259233,-3.01763323554207,0.00254928299102621
B5,plaintiff_typePHA,-0.471439206988804,0.0245805338085571,-19.1793722081285,1.35774486341286e-81
B5,high_filer_bldgTRUE,-0.124468269699089,0.00707494206136365,-17.5928323680291,5.30443656693307e-69
B5,log(portfolio_size_conglomerate_yr),-0.00224479341879213,0.00236934884703517,-0.94743052362302,0.343425560862754
B5,log_ongoing_rent,-0.259428942164243,0.00878169426355632,-29.5420148297422,1.26153270008751e-189
B5,pct_black,0.00480672931496804,0.0143770267895627,0.334334030625691,0.738129387202255
B5,num_units_bin2-5,-0.0692253782634061,0.0105172213279443,-6.58209769527945,4.69973924772234e-11
B5,num_units_bin21-50,-0.146564054397272,0.0245558745578712,-5.96859436025634,2.41455852895135e-09
B5,num_units_bin51+,-0.243636318072851,0.0278155835144399,-8.75898641300737,2.05112293043898e-18
B5,num_units_bin6-20,-0.104057104599218,0.0250127033633982,-4.1601702577854,3.18719431514688e-05
