market_id,market_group,hhi_units_start,total_units_start,hhi_units_end,total_units_end,total_units_plot,log_hhi_units_start,log_hhi_units_end
19120__1,1,2.32797752757229,5818,2.45678440600141,5818,5818,0.844999876717914,0.89885334284389
19120__2-4,2-4,10.0356988432719,2645,10.3072816349286,2645,2645,2.30614862040865,2.33285060030816
19120__5-49,5-49,403.879483902593,478,403.879483902593,478,478,6.00111652628692,6.00111652628692
19120__50+,50+,1989.10281581895,809,1737.88415470609,884,884,7.59543896973464,7.4604236492345
19121__1,1,553.196061016447,4306,529.441175463209,4459,4459,6.31571247940453,6.27182206437182
19121__2-4,2-4,230.808289922222,3602,145.93462405293,4702,4702,5.4415874521961,4.98315874096535
19121__5-49,5-49,484.198055614909,1448,259.712229739526,2458,2458,6.18249402883069,5.55957420935632
19121__50+,50+,1486.39137245625,1237,1769.44121910313,1452,1452,7.30410656372104,7.47841908030362
19122__1,1,591.083161950897,1835,511.582619984587,2041,2041,6.38195672146773,6.23750909724449
19122__2-4,2-4,304.518774884172,1153,173.654274312121,1725,1725,5.71873274332527,5.15706639341132
19122__5-49,5-49,453.206334713837,719,231.306404209833,1642,1642,6.11634750680073,5.44374325674788
19122__50+,50+,2126.76005225722,332,1190.04411427211,1372,1372,7.66235499842633,7.08174565623537
19123__1,1,36.5717068419768,1110,24.5185278810483,1437,1437,3.59927490435561,3.19942907178805
19123__2-4,2-4,24.0016400700958,1409,19.3818486000359,1726,1726,3.17812216426712,2.96433698891232
19123__5-49,5-49,164.207441775281,1810,68.0169446823274,4109,4109,5.10113051739988,4.21975686063912
19123__50+,50+,996.534419987429,1047,801.079292198983,1295,1295,6.90428367993684,6.68595993367837
19124__1,1,3.58488600509227,7159,3.3476639305884,7160,7160,1.27672667580328,1.20826276843371
19124__2-4,2-4,10.0551317714106,2943,10.8499795447429,2947,2947,2.30808312820196,2.38416319470754
19124__5-49,5-49,156.368562746654,1937,206.976927616242,1947,1947,5.05221580245073,5.33260732626205
19124__50+,50+,1348.34183673469,560,1348.40198284056,559,560,7.20663084740635,7.20667545387244
19125__1,1,4.76496862123501,3331,4.18080392510377,3705,3705,1.56129095182425,1.43050355462413
19125__2-4,2-4,25.5002037687514,1135,21.6178842236304,1504,1504,3.23868644306388,3.07352094542552
19125__5-49,5-49,268.237096619745,885,145.351734488682,1652,1652,5.59187127828395,4.97915656012035
19125__50+,50+,1978.95652861833,477,1695.34899274523,533,533,7.59032497902393,7.43564389404591
19126__1,1,61.0051061542597,610,57.2964256920184,610,610,4.11095756811692,4.04823824292721
19126__2-4,2-4,38.9387166138522,752,41.2729176097779,752,752,3.66198904135912,3.720206536923
19126__5-49,5-49,465.552592608002,877,488.019564988448,877,877,6.14322507123322,6.19035549723892
19126__50+,50+,2882.5151384083,272,2882.5151384083,272,272,7.96641850396231,7.96641850396231
19127__1,1,12.0957190228471,1111,11.9883040935674,1140,1140,2.49285159023609,2.48393151562981
19127__2-4,2-4,40.1499375260308,735,37.0937362505173,779,779,3.69262088437738,3.61344812114143
19127__5-49,5-49,726.294386034517,568,587.572220041803,662,662,6.58795542304145,6.37599916619405
19127__50+,50+,10000,69,5641.31963223364,215,215,9.21034037197618,8.63787329447006
19128__1,1,4.70339212517773,2446,4.72671436029644,2513,2513,1.54828397715628,1.55323032271566
19128__2-4,2-4,12.6402271955557,2193,12.977412861612,2243,2243,2.53688436288911,2.5632103741224
19128__5-49,5-49,211.670267346222,941,224.332384405332,1286,1286,5.35502972116441,5.41312881097658
19128__50+,50+,1223.88974126691,1748,1043.05325001748,1958,1958,7.10978937835047,6.94990750836433
19129__1,1,15.1541189520227,1012,15.0645732713594,1028,1028,2.71827237302455,2.71234584635031
19129__2-4,2-4,65.1770227527803,495,70.4534933028331,507,507,4.17710699505381,4.25495282267723
19129__5-49,5-49,259.132840410394,634,255.8001189768,697,697,5.55734082755008,5.54439635426113
19129__50+,50+,1902.28780457561,635,1902.28780457561,635,635,7.55081254846967,7.55081254846967
19130__1,1,48.8520408163253,1680,41.6329501218603,1828,1828,3.8887961548183,3.72889192398216
19130__2-4,2-4,95.5947796607111,3276,79.0220433739942,3670,3670,4.56011821250688,4.36972684359594
19130__5-49,5-49,53.4023752366598,3674,54.5836982575938,4594,4594,3.9778552250642,3.99973527146021
19130__50+,50+,1143.43965112923,2738,803.108806193331,3515,3515,7.04179623649449,6.68849020438561
19131__1,1,17.7231957611142,3540,18.3963972246702,3549,3549,2.87487427660892,2.91215484243597
19131__2-4,2-4,13.3877749489761,2379,14.7332966222299,2394,2394,2.59434197330162,2.69011000870859
19131__5-49,5-49,156.580075738603,1815,148.215838278495,1934,1934,5.05356754518513,4.99866957812669
19131__50+,50+,458.926196329665,4772,450.390001362347,4823,4823,6.12888940482198,6.11011387711714
19132__1,1,81.1839533894706,5994,82.3574102408281,5994,5994,4.39671760928228,4.41106843728478
