market_id,market_group,hhi_units_start,total_units_start,hhi_units_end,total_units_end,total_units_plot,log_hhi_units_start,log_hhi_units_end
19125__high,High-filing (>5%),33.9428280230048,812,32.4764838868852,841,841,3.5246775805247,3.48051625471939
19125__low,Lower-filing (<=5%),28.9607546123535,5016,22.9419771300271,6553,6553,3.36594162423444,3.13296829499811
19126__high,High-filing (>5%),317.668360177277,1276,317.717494914554,1276,1276,5.76100794606509,5.76116260716427
19126__low,Lower-filing (<=5%),90.7734924355422,1235,101.762035109574,1235,1235,4.50836730945709,4.62263709850321
19127__high,High-filing (>5%),1336.5,200,1332.5,200,200,7.19780953557897,7.19481215604
19127__low,Lower-filing (<=5%),52.4223588660901,2283,75.9554227079232,2596,2596,3.95933319623593,4.33014662488571
19128__high,High-filing (>5%),915.21577657672,1954,829.432084579073,2124,2124,6.81915985886935,6.72074123114784
19128__low,Lower-filing (<=5%),18.2514634065602,5374,22.4146775590474,5876,5876,2.90424526347456,3.1097159924514
19129__high,High-filing (>5%),294.279574475642,411,294.811320754717,424,424,5.68453024907839,5.68633556105248
19129__low,Lower-filing (<=5%),153.752083994476,2365,147.803819847329,2443,2443,5.03534146103038,4.99588585288466
19130__high,High-filing (>5%),880.531813865146,1170,768.735750451379,1499,1499,6.7805260588737,6.64474728295073
19130__low,Lower-filing (<=5%),93.1616745835864,10198,75.9590838057094,12108,12108,4.53433642020438,4.33019482433513
19131__high,High-filing (>5%),248.985076427776,4270,242.787973668132,4339,4339,5.5173929606436,5.492188526114
19131__low,Lower-filing (<=5%),101.713806477727,8236,99.6263270670474,8361,8361,4.62216305075018,4.60142645764447
19132__high,High-filing (>5%),21.1604504143624,2466,27.8737439718729,2490,2490,3.05213389288654,3.32768516946007
19132__low,Lower-filing (<=5%),123.337817827288,6015,117.412903914874,6348,6348,4.81492707707092,4.76569681544991
19133__high,High-filing (>5%),90.9464008659729,1069,89.7353375487487,1078,1078,4.51027033151451,4.49686464409169
19133__low,Lower-filing (<=5%),603.609772735389,3857,569.66203159768,3971,3971,6.40292791751045,6.34504325795624
19134__high,High-filing (>5%),11.6425937679068,4586,10.6640567273794,4586,4586,2.45467024977426,2.36687890238396
19134__low,Lower-filing (<=5%),16.1083539704651,8117,16.8543870738066,8164,8164,2.77933801757177,2.82461098337377
19135__high,High-filing (>5%),15.8431402272159,2527,16.7039010139201,2530,2530,2.76273661340568,2.81564228579187
19135__low,Lower-filing (<=5%),22.603110276683,3927,23.3592059413303,3927,3927,3.11808751967116,3.15099116514471
19136__high,High-filing (>5%),85.6181412894377,2160,85.8110425240056,2160,2160,4.44989719164488,4.45214769895867
19136__low,Lower-filing (<=5%),80.0381241006077,4513,80.0548176332238,4513,4513,4.38250307241699,4.38271162043286
19137__high,High-filing (>5%),79.0868600653694,243,80.1029653338752,243,243,4.37054674296398,4.38331287378702
19137__low,Lower-filing (<=5%),271.214491012465,1033,259.862756782644,1046,1046,5.60290998757557,5.56015363312088
19138__high,High-filing (>5%),38.086556657868,1933,38.1100163923229,1936,1936,3.63986137624318,3.64047714501748
19138__low,Lower-filing (<=5%),21.0968041030438,2768,22.1389460479192,2795,2795,3.04912156469942,3.09733832216903
19139__high,High-filing (>5%),40.3191957578642,4516,43.1060034000369,4557,4557,3.69682767708264,3.76366227743381
19139__low,Lower-filing (<=5%),73.6022059989565,7154,139.136084978956,7866,7866,4.29867499809756,4.93545248282032
19140__high,High-filing (>5%),14.8376118344036,3767,18.3448753462598,3800,3800,2.69716529718816,2.90935026281331
19140__low,Lower-filing (<=5%),27.0502893690962,7031,27.0597141924488,7115,7115,3.2976977027989,3.2980460606931
19141__high,High-filing (>5%),118.158876476919,2756,117.915191262556,2777,2777,4.77203012968875,4.76996564795005
19141__low,Lower-filing (<=5%),58.41895932752,3589,58.5934593578399,3592,3592,4.06764048316724,4.07062307529962
19142__high,High-filing (>5%),38.4294625452173,2498,44.207639483935,2502,2502,3.64882441918667,3.78889761315177
19142__low,Lower-filing (<=5%),33.2940389493011,3157,33.4766479686414,3157,3157,3.5053783704306,3.51084812019794
19143__high,High-filing (>5%),38.8040013570944,4812,40.7847751133926,4829,4829,3.65852336907209,3.7083088527835
19143__low,Lower-filing (<=5%),37.1242356731914,9505,37.2167502493362,9682,9682,3.61427000898342,3.61675893545529
19144__high,High-filing (>5%),132.047690309526,5727,128.163590195902,5801,5801,4.88316314756045,4.85330749631643
19144__low,Lower-filing (<=5%),111.979339884102,6300,116.20330899218,6507,6507,4.71831438895876,4.75534132070926
19145__high,High-filing (>5%),112.276611348538,2588,112.312525534869,2593,2593,4.72096557067253,4.72128539189929
19145__low,Lower-filing (<=5%),101.594410733046,6283,97.383009988154,6538,6538,4.62098852116112,4.57865175999296
19146__high,High-filing (>5%),58.4466352662991,2290,58.0096819252598,2313,2313,4.06811412024397,4.06060992636106
19146__low,Lower-filing (<=5%),17.0946754562586,9743,19.1958961681819,12527,12527,2.8387670381938,2.9546965149473
19147__high,High-filing (>5%),53.183122542247,970,62.7392324667238,1042,1042,3.97374110056813,4.13898696913213
19147__low,Lower-filing (<=5%),16.2896886527615,10235,16.4923516200651,11853,11853,2.79053230964809,2.80289673526163
19148__high,High-filing (>5%),52.4471193290424,2039,52.1882313409097,2073,2073,3.95980541110414,3.95485701623091
19148__low,Lower-filing (<=5%),6.36258160613397,7285,6.39969210671574,7486,7486,1.85043420790582,1.85624988088272
19149__high,High-filing (>5%),19.7468071968159,3605,19.8776164250222,3605,3605,2.98299181735788,2.98959429590236
19149__low,Lower-filing (<=5%),6.18430027144163,7087,6.30933618691333,7087,7087,1.82201386629027,1.84203047084698
